nbr	tag	id	castle_name	location	desc
0	1	1	a,Gludio Castle\0	a,Gludio\0	a,
1	1	2	a,Dion Castle\0	a,Dion\0	a,
2	1	3	a,Giran Castle\0	a,Giran\0	a,
3	1	4	a,Oren Castle\0	a,Oren\0	a,
4	1	5	a,Aden Castle\0	a,Aden\0	a,
5	1	6	a,Innadril Castle\0	a,Innadril\0	a,
6	1	7	a,Goddard Castle\0	a,Goddard\0	a,
7	1	8	a,Rune Castle\0	a,Rune\0	a,
8	1	9	a,Schuttgart Castle\0	a,Schuttgart\0	a,
9	1	21	a,Fortress of Resistance\0	a,Dion\0	a,Ol Mahum Fortress of Resistance\0
10	1	22	a,Moonstone Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0
11	1	23	a,Onyx Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0
12	1	24	a,Topaz Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0
13	1	25	a,Ruby Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0
14	1	26	a,Crystal Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0
15	1	27	a,Onyx Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0
16	1	28	a,Sapphire Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0
17	1	29	a,Moonstone Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0
18	1	30	a,Emerald Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0
19	1	31	a,The Atramental Barracks\0	a,Dion\0	a,Clan hall located in the Town of Dion\0
20	1	32	a,The Scarlet Barracks\0	a,Dion\0	a,Clan hall located in the Town of Dion\0
21	1	33	a,The Viridian Barracks\0	a,Dion\0	a,Clan hall located in the Town of Dion\0
22	1	34	a,Devastated Castle\0	a,Aden\0	a,Contestable Clan Hall\0
23	1	35	a,Bandit Stronghold\0	a,Oren\0	a,Contestable Clan Hall\0
24	1	36	a,The Golden Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0
25	1	37	a,The Silver Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0
26	1	38	a,The Mithril Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0
27	1	39	a,Silver Manor\0	a,Aden\0	a,Clan hall located in the Town of Aden\0
28	1	40	a,Gold Manor\0	a,Aden\0	a,Clan hall located in the Town of Aden\0
29	1	41	a,The Bronze Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0
30	1	42	a,The Golden Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0
31	1	43	a,The Silver Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0
32	1	44	a,The Mithril Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0
33	1	45	a,The Bronze Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0
34	1	46	a,Silver Manor\0	a,Giran\0	a,Clan hall located in the Town of Giran\0
35	1	47	a,Moonstone Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0
36	1	48	a,Onyx Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0
37	1	49	a,Emerald Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0
38	1	50	a,Sapphire Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0
39	1	51	a,Mont Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
40	1	52	a,Astaire Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
41	1	53	a,Aria Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
42	1	54	a,Yiana Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
43	1	55	a,Roien Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
44	1	56	a,Luna Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
45	1	57	a,Traban Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0
46	1	58	a,Eisen Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0
47	1	59	a,Heavy Metal Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0
48	1	60	a,Molten Ore Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0
49	1	61	a,Titan Hall\0	a,Schuttgart\0	a,Clan hall located in the Town of Schuttgart\0
50	1	62	a,Rainbow Springs\0	a,Goddard\0	a,
51	1	63	a,Wild Beast Reserve\0	a,Rune\0	a,
52	1	64	a,Fortress of the Dead\0	a,Rune\0	a,
