face_icon	cnt_hm	cnt_ht	cnt_fm	cnt_ft	hair_mesh	hair_tex	face_mesh	face_tex[0]	face_tex[1]	face_tex[2]	body_mesh[0]	body_mesh[1]	body_mesh[2]	body_mesh[3]	body_tex[0]	body_tex[1]	body_tex[2]	body_tex[3]	attack_eff	walkanimframe	cnt_att	cnt_def	cnt_dmg	snd_att[0]	snd_att[1]	snd_att[2]	snd_def[0]	snd_def[1]	snd_def[2]	snd_def[3]	snd_def[4]	snd_dmg[0]	snd_dmg[1]	snd_dmg[2]	cnth	voice_snd_hand[0]	voice_snd_hand[1]	voice_snd_hand[2]	voice_snd_hand[3]	voice_snd_hand[4]	cnt1h	voice_snd_1hs[0]	voice_snd_1hs[1]	voice_snd_1hs[2]	voice_snd_1hs[3]	voice_snd_1hs[4]	cnt2h	voice_snd_2hs[0]	voice_snd_2hs[1]	voice_snd_2hs[2]	voice_snd_2hs[3]	voice_snd_2hs[4]	cntd	voice_snd_dual[0]	voice_snd_dual[1]	voice_snd_dual[2]	voice_snd_dual[3]	voice_snd_dual[4]	cntp	voice_snd_pole[0]	voice_snd_pole[1]	voice_snd_pole[2]	voice_snd_pole[3]	voice_snd_pole[4]	cntb	voice_snd_bow	cntu	voice_snd_unknown	cntf	voice_snd_fist[0]	voice_snd_fist[1]	voice_snd_fist[2]	voice_snd_fist[3]	voice_snd_fist[4]
SEK.cbui29	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Fighter.MFighter_m000_f	MFighter.MFighter_m000_t00_f	MFighter.MFighter_m000_t01_f	MFighter.MFighter_m000_t02_f	Fighter.MFighter_m001_u	Fighter.MFighter_m001_l	Fighter.MFighter_m001_g	Fighter.MFighter_m001_b	MFighter.MFighter_m001_t02_u	MFighter.MFighter_m001_t02_l	MFighter.MFighter_m001_t02_g	MFighter.MFighter_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_3	ChrSound.MHFighter_Dmg_1	ChrSound.MHFighter_Dmg_2	ChrSound.MHFighter_Dmg_3	5	ChrSound.MHFighter_1H_Atk_1	ChrSound.MHFighter_1H_Atk_2	ChrSound.MHFighter_1H_Atk_3	ChrSound.MHFighter_1H_Atk_4	ChrSound.MHFighter_1H_Atk_5	5	ChrSound.MHFighter_1H_Atk_1	ChrSound.MHFighter_1H_Atk_2	ChrSound.MHFighter_1H_Atk_3	ChrSound.MHFighter_1H_Atk_4	ChrSound.MHFighter_1H_Atk_5	5	ChrSound.MHFighter_2H_Atk_1	ChrSound.MHFighter_2H_Atk_2	ChrSound.MHFighter_2H_Atk_3	ChrSound.MHFighter_2H_Atk_4	ChrSound.MHFighter_2H_Atk_5	5	ChrSound.MHFighter_1H_Atk_1	ChrSound.MHFighter_1H_Atk_2	ChrSound.MHFighter_1H_Atk_3	ChrSound.MHFighter_1H_Atk_4	ChrSound.MHFighter_1H_Atk_5	5	ChrSound.MHFighter_Pole_Atk_1	ChrSound.MHFighter_Pole_Atk_2	ChrSound.MHFighter_Pole_Atk_3	ChrSound.MHFighter_Pole_Atk_4	ChrSound.MHFighter_Pole_Atk_5	1		0		5	ChrSound.MHFighter_1H_Atk_1	ChrSound.MHFighter_1H_Atk_2	ChrSound.MHFighter_1H_Atk_3	ChrSound.MHFighter_1H_Atk_4	ChrSound.MHFighter_1H_Atk_5
SEK.cbui22	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Fighter.FFighter_m000_f	FFighter.FFighter_m000_t00_f	FFighter.FFighter_m000_t01_f	FFighter.FFighter_m000_t02_f	Fighter.FFighter_m001_u	Fighter.FFighter_m001_l	Fighter.FFighter_m001_g	Fighter.FFighter_m001_b	FFighter.FFighter_m001_t02_u	FFighter.FFighter_m001_t02_l	FFighter.FFighter_m001_t02_g	FFighter.FFighter_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_7	ChrSound.FHFighter_Dmg_1	ChrSound.FHFighter_Dmg_2	ChrSound.FHFighter_Dmg_3	5	ChrSound.FHFighter_1H_Atk_1	ChrSound.FHFighter_1H_Atk_2	ChrSound.FHFighter_1H_Atk_3	ChrSound.FHFighter_1H_Atk_4	ChrSound.FHFighter_1H_Atk_5	5	ChrSound.FHFighter_1H_Atk_1	ChrSound.FHFighter_1H_Atk_2	ChrSound.FHFighter_1H_Atk_3	ChrSound.FHFighter_1H_Atk_4	ChrSound.FHFighter_1H_Atk_5	5	ChrSound.FHFighter_2H_Atk_1	ChrSound.FHFighter_2H_Atk_2	ChrSound.FHFighter_2H_Atk_3	ChrSound.FHFighter_2H_Atk_4	ChrSound.FHFighter_2H_Atk_5	5	ChrSound.FHFighter_1H_Atk_1	ChrSound.FHFighter_1H_Atk_2	ChrSound.FHFighter_1H_Atk_3	ChrSound.FHFighter_1H_Atk_4	ChrSound.FHFighter_1H_Atk_5	5	ChrSound.FHFighter_Pole_Atk_1	ChrSound.FHFighter_Pole_Atk_2	ChrSound.FHFighter_Pole_Atk_3	ChrSound.FHFighter_Pole_Atk_4	ChrSound.FHFighter_Pole_Atk_5	1		0		5	ChrSound.FHFighter_1H_Atk_1	ChrSound.FHFighter_1H_Atk_2	ChrSound.FHFighter_1H_Atk_3	ChrSound.FHFighter_1H_Atk_4	ChrSound.FHFighter_1H_Atk_5
SEK.cbui23	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	DarkElf.MDarkElf_m000_f	MDarkElf.MDarkElf_m000_t00_f	MDarkElf.MDarkElf_m000_t01_f	MDarkElf.MDarkElf_m000_t02_f	DarkElf.MDarkElf_m001_u	DarkElf.MDarkElf_m001_l	DarkElf.MDarkElf_m001_g	DarkElf.MDarkElf_m001_b	MDarkElf.MDarkElf_m001_t02_u	MDarkElf.MDarkElf_m001_t02_l	MDarkElf.MDarkElf_m001_t02_g	MDarkElf.MDarkElf_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_3	ChrSound.MDElf_Dmg_1	ChrSound.MDElf_Dmg_2	ChrSound.MDElf_Dmg_3	5	ChrSound.MDElf_1H_Atk_1	ChrSound.MDElf_1H_Atk_2	ChrSound.MDElf_1H_Atk_3	ChrSound.MDElf_1H_Atk_4	ChrSound.MDElf_1H_Atk_5	5	ChrSound.MDElf_1H_Atk_1	ChrSound.MDElf_1H_Atk_2	ChrSound.MDElf_1H_Atk_3	ChrSound.MDElf_1H_Atk_4	ChrSound.MDElf_1H_Atk_5	5	ChrSound.MDElf_2H_Atk_1	ChrSound.MDElf_2H_Atk_2	ChrSound.MDElf_2H_Atk_3	ChrSound.MDElf_2H_Atk_4	ChrSound.MDElf_2H_Atk_5	5	ChrSound.MDElf_1H_Atk_1	ChrSound.MDElf_1H_Atk_2	ChrSound.MDElf_1H_Atk_3	ChrSound.MDElf_1H_Atk_4	ChrSound.MDElf_1H_Atk_5	5	ChrSound.MDElf_Pole_Atk_1	ChrSound.MDElf_Pole_Atk_2	ChrSound.MDElf_Pole_Atk_3	ChrSound.MDElf_Pole_Atk_4	ChrSound.MDElf_Pole_Atk_5	1		0		5	ChrSound.MDElf_1H_Atk_1	ChrSound.MDElf_1H_Atk_2	ChrSound.MDElf_1H_Atk_3	ChrSound.MDElf_1H_Atk_4	ChrSound.MDElf_1H_Atk_5
SEK.cbui23	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	DarkElf.FDarkElf_m000_f	FdarkElf.FDarkElf_m000_t00_f	FdarkElf.FDarkElf_m000_t01_f	FdarkElf.FDarkElf_m000_t02_f	DarkElf.FDarkElf_m001_u	DarkElf.FDarkElf_m001_l	DarkElf.FDarkElf_m001_g	DarkElf.FDarkElf_m001_b	FDarkElf.FDarkElf_m001_t02_u	FDarkElf.FDarkElf_m001_t02_l	FDarkElf.FDarkElf_m001_t02_g	FDarkElf.FDarkElf_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_7	ChrSound.FDElf_Dmg_1	ChrSound.FDElf_Dmg_2	ChrSound.FDElf_Dmg_3	5	ChrSound.FDElf_1H_Atk_1	ChrSound.FDElf_1H_Atk_2	ChrSound.FDElf_1H_Atk_3	ChrSound.FDElf_1H_Atk_4	ChrSound.FDElf_1H_Atk_5	5	ChrSound.FDElf_1H_Atk_1	ChrSound.FDElf_1H_Atk_2	ChrSound.FDElf_1H_Atk_3	ChrSound.FDElf_1H_Atk_4	ChrSound.FDElf_1H_Atk_5	5	ChrSound.FDElf_2H_Atk_1	ChrSound.FDElf_2H_Atk_2	ChrSound.FDElf_2H_Atk_3	ChrSound.FDElf_2H_Atk_4	ChrSound.FDElf_2H_Atk_5	5	ChrSound.FDElf_1H_Atk_1	ChrSound.FDElf_1H_Atk_2	ChrSound.FDElf_1H_Atk_3	ChrSound.FDElf_1H_Atk_4	ChrSound.FDElf_1H_Atk_5	5	ChrSound.FDElf_Pole_Atk_1	ChrSound.FDElf_Pole_Atk_2	ChrSound.FDElf_Pole_Atk_3	ChrSound.FDElf_Pole_Atk_4	ChrSound.FDElf_Pole_Atk_5	1		0		5	ChrSound.FDElf_1H_Atk_1	ChrSound.FDElf_1H_Atk_2	ChrSound.FDElf_1H_Atk_3	ChrSound.FDElf_1H_Atk_4	ChrSound.FDElf_1H_Atk_5
SEK.cbui23	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Dwarf.MDwarf_m000_f	Mdwarf.MDwarf_m000_t00_f	Mdwarf.MDwarf_m000_t01_f	Mdwarf.MDwarf_m000_t02_f	Dwarf.MDwarf_m001_u	Dwarf.MDwarf_m001_l	Dwarf.MDwarf_m001_g	Dwarf.MDwarf_m001_b	MDwarf.MDwarf_m001_t02_u	MDwarf.MDwarf_m001_t02_l	MDwarf.MDwarf_m001_t02_g	MDwarf.MDwarf_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_3	ChrSound.MDwarf_Dmg_1	ChrSound.MDwarf_Dmg_2	ChrSound.MDwarf_Dmg_3	5	ChrSound.MDwarf_1H_Atk_1	ChrSound.MDwarf_1H_Atk_2	ChrSound.MDwarf_1H_Atk_3	ChrSound.MDwarf_1H_Atk_4	ChrSound.MDwarf_1H_Atk_5	5	ChrSound.MDwarf_1H_Atk_1	ChrSound.MDwarf_1H_Atk_2	ChrSound.MDwarf_1H_Atk_3	ChrSound.MDwarf_1H_Atk_4	ChrSound.MDwarf_1H_Atk_5	5	ChrSound.MDwarf_2H_Atk_1	ChrSound.MDwarf_2H_Atk_2	ChrSound.MDwarf_2H_Atk_3	ChrSound.MDwarf_2H_Atk_4	ChrSound.MDwarf_2H_Atk_5	5	ChrSound.MDwarf_1H_Atk_1	ChrSound.MDwarf_1H_Atk_2	ChrSound.MDwarf_1H_Atk_3	ChrSound.MDwarf_1H_Atk_4	ChrSound.MDwarf_1H_Atk_5	5	ChrSound.MDwarf_Pole_Atk_1	ChrSound.MDwarf_Pole_Atk_2	ChrSound.MDwarf_Pole_Atk_3	ChrSound.MDwarf_Pole_Atk_4	ChrSound.MDwarf_Pole_Atk_5	1		0		5	ChrSound.MDwarf_1H_Atk_1	ChrSound.MDwarf_1H_Atk_2	ChrSound.MDwarf_1H_Atk_3	ChrSound.MDwarf_1H_Atk_4	ChrSound.MDwarf_1H_Atk_5
SEK.cbui28	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Dwarf.FDwarf_m000_f	FDwarf.FDwarf_m000_t00_f	FDwarf.FDwarf_m000_t01_f	FDwarf.FDwarf_m000_t02_f	Dwarf.FDwarf_m001_u	Dwarf.FDwarf_m001_l	Dwarf.FDwarf_m001_g	Dwarf.FDwarf_m001_b	FDwarf.FDwarf_m001_t02_u	FDwarf.FDwarf_m001_t02_l	FDwarf.FDwarf_m001_t02_g	FDwarf.FDwarf_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_7	ChrSound.FDwarf_Dmg_1	ChrSound.FDwarf_Dmg_2	ChrSound.FDwarf_Dmg_3	5	ChrSound.FDwarf_1H_Atk_1	ChrSound.FDwarf_1H_Atk_2	ChrSound.FDwarf_1H_Atk_3	ChrSound.FDwarf_1H_Atk_4	ChrSound.FDwarf_1H_Atk_5	5	ChrSound.FDwarf_1H_Atk_1	ChrSound.FDwarf_1H_Atk_2	ChrSound.FDwarf_1H_Atk_3	ChrSound.FDwarf_1H_Atk_4	ChrSound.FDwarf_1H_Atk_5	5	ChrSound.FDwarf_2H_Atk_1	ChrSound.FDwarf_2H_Atk_2	ChrSound.FDwarf_2H_Atk_3	ChrSound.FDwarf_2H_Atk_4	ChrSound.FDwarf_2H_Atk_5	5	ChrSound.FDwarf_1H_Atk_1	ChrSound.FDwarf_1H_Atk_2	ChrSound.FDwarf_1H_Atk_3	ChrSound.FDwarf_1H_Atk_4	ChrSound.FDwarf_1H_Atk_5	5	ChrSound.FDwarf_Pole_Atk_1	ChrSound.FDwarf_Pole_Atk_2	ChrSound.FDwarf_Pole_Atk_3	ChrSound.FDwarf_Pole_Atk_4	ChrSound.FDwarf_Pole_Atk_5	1		0		5	ChrSound.FDwarf_1H_Atk_1	ChrSound.FDwarf_1H_Atk_2	ChrSound.FDwarf_1H_Atk_3	ChrSound.FDwarf_1H_Atk_4	ChrSound.FDwarf_1H_Atk_5
SEK.cbui31	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Elf.MElf_m000_f	Melf.MElf_m000_t00_f	Melf.MElf_m000_t01_f	Melf.MElf_m000_t02_f	Elf.MElf_m001_u	Elf.MElf_m001_l	Elf.MElf_m001_g	Elf.MElf_m001_b	MElf.MElf_m001_t02_u	MElf.MElf_m001_t02_l	MElf.MElf_m001_t02_g	MElf.MElf_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_3	ChrSound.MElf_Dmg_1	ChrSound.MElf_Dmg_2	ChrSound.MElf_Dmg_3	5	ChrSound.MElf_1H_Atk_1	ChrSound.MElf_1H_Atk_2	ChrSound.MElf_1H_Atk_3	ChrSound.MElf_1H_Atk_4	ChrSound.MElf_1H_Atk_5	5	ChrSound.MElf_1H_Atk_1	ChrSound.MElf_1H_Atk_2	ChrSound.MElf_1H_Atk_3	ChrSound.MElf_1H_Atk_4	ChrSound.MElf_1H_Atk_5	5	ChrSound.MElf_2H_Atk_1	ChrSound.MElf_2H_Atk_2	ChrSound.MElf_2H_Atk_3	ChrSound.MElf_2H_Atk_4	ChrSound.MElf_2H_Atk_5	5	ChrSound.MElf_1H_Atk_1	ChrSound.MElf_1H_Atk_2	ChrSound.MElf_1H_Atk_3	ChrSound.MElf_1H_Atk_4	ChrSound.MElf_1H_Atk_5	5	ChrSound.MElf_Pole_Atk_1	ChrSound.MElf_Pole_Atk_2	ChrSound.MElf_Pole_Atk_3	ChrSound.MElf_Pole_Atk_4	ChrSound.MElf_Pole_Atk_5	1		0		5	ChrSound.MElf_1H_Atk_1	ChrSound.MElf_1H_Atk_2	ChrSound.MElf_1H_Atk_3	ChrSound.MElf_1H_Atk_4	ChrSound.MElf_1H_Atk_5
SEK.cbui30	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Elf.FElf_m000_f	FElf.FElf_m000_t00_f	FElf.FElf_m000_t01_f	FElf.FElf_m000_t02_f	Elf.FElf_m001_u	Elf.FElf_m001_l	Elf.FElf_m001_g	Elf.FElf_m001_b	FElf.FElf_m001_t02_u	FElf.FElf_m001_t02_l	FElf.FElf_m001_t02_g	FElf.FElf_m001_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_7	ChrSound.FElf_Dmg_1	ChrSound.FElf_Dmg_2	ChrSound.FElf_Dmg_3	5	ChrSound.FElf_1H_Atk_1	ChrSound.FElf_1H_Atk_2	ChrSound.FElf_1H_Atk_3	ChrSound.FElf_1H_Atk_4	ChrSound.FElf_1H_Atk_5	5	ChrSound.FElf_1H_Atk_1	ChrSound.FElf_1H_Atk_2	ChrSound.FElf_1H_Atk_3	ChrSound.FElf_1H_Atk_4	ChrSound.FElf_1H_Atk_5	5	ChrSound.FElf_2H_Atk_1	ChrSound.FElf_2H_Atk_2	ChrSound.FElf_2H_Atk_3	ChrSound.FElf_2H_Atk_4	ChrSound.FElf_2H_Atk_5	5	ChrSound.FElf_1H_Atk_1	ChrSound.FElf_1H_Atk_2	ChrSound.FElf_1H_Atk_3	ChrSound.FElf_1H_Atk_4	ChrSound.FElf_1H_Atk_5	5	ChrSound.FElf_Pole_Atk_1	ChrSound.FElf_Pole_Atk_2	ChrSound.FElf_Pole_Atk_3	ChrSound.FElf_Pole_Atk_4	ChrSound.FElf_Pole_Atk_5	1		0		5	ChrSound.FElf_1H_Atk_1	ChrSound.FElf_1H_Atk_2	ChrSound.FElf_1H_Atk_3	ChrSound.FElf_1H_Atk_4	ChrSound.FElf_1H_Atk_5
SEK.cbui29	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Magic.MMagic_m000_f	MMagic.MMagic_m000_t00_f	MMagic.MMagic_m000_t01_f	MMagic.MMagic_m000_t02_f	Magic.MMagic_m005_u	Magic.MMagic_m003_l	Magic.MMagic_m005_g	Magic.MMagic_m003_b	MMagic.MMagic_m005_t02_u	MMagic.MMagic_m003_t02_l	MMagic.MMagic_m005_t02_g	MMagic.MMagic_m003_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_3	ChrSound.MHMagician_Dmg_1	ChrSound.MHMagician_Dmg_2	ChrSound.MHMagician_Dmg_3	5	ChrSound.MHMagician_1H_Atk_1	ChrSound.MHMagician_1H_Atk_2	ChrSound.MHMagician_1H_Atk_3	ChrSound.MHMagician_1H_Atk_4	ChrSound.MHMagician_1H_Atk_5	5	ChrSound.MHMagician_1H_Atk_1	ChrSound.MHMagician_1H_Atk_2	ChrSound.MHMagician_1H_Atk_3	ChrSound.MHMagician_1H_Atk_4	ChrSound.MHMagician_1H_Atk_5	5	ChrSound.MHMagician_2H_Atk_1	ChrSound.MHMagician_2H_Atk_2	ChrSound.MHMagician_2H_Atk_3	ChrSound.MHMagician_2H_Atk_4	ChrSound.MHMagician_2H_Atk_5	5	ChrSound.MHMagician_1H_Atk_1	ChrSound.MHMagician_1H_Atk_2	ChrSound.MHMagician_1H_Atk_3	ChrSound.MHMagician_1H_Atk_4	ChrSound.MHMagician_1H_Atk_5	5	ChrSound.MHMagician_Pole_Atk_1	ChrSound.MHMagician_Pole_Atk_2	ChrSound.MHMagician_Pole_Atk_3	ChrSound.MHMagician_Pole_Atk_4	ChrSound.MHMagician_Pole_Atk_5	1		0		5	ChrSound.MHMagician_1H_Atk_1	ChrSound.MHMagician_1H_Atk_2	ChrSound.MHMagician_1H_Atk_3	ChrSound.MHMagician_1H_Atk_4	ChrSound.MHMagician_1H_Atk_5
SEK.cbui22	1	1	1	3	DarkElf.FDarkElf_m000_m00_ah	FdarkElf.FDarkElf_m000_t00_m00_ah	Magic.FMagic_m000_f	FMagic.FMagic_m000_t00_f	FMagic.FMagic_m000_t01_f	FMagic.FMagic_m000_t02_f	Magic.FMagic_m003_u	Magic.FMagic_m002_l	Magic.FMagic_m003_g	Magic.FMagic_m002_b	FMagic.FMagic_m003_t02_u	FMagic.FMagic_m002_t02_l	FMagic.FMagic_m003_t02_g	FMagic.FMagic_m002_t02_b	LineageEffect.p_u002_a	12	3	5	3	ItemSound.fist_1	ItemSound.fist_2	ItemSound.fist_3	ItemSound.armor_underwear_1	ItemSound.armor_underwear_2	ItemSound.armor_underwear_3	ItemSound.armor_underwear_4	ItemSound.armor_leather_7	ChrSound.FHMagician_Dmg_1	ChrSound.FHMagician_Dmg_2	ChrSound.FHMagician_Dmg_3	5	ChrSound.FHMagician_1H_Atk_1	ChrSound.FHMagician_1H_Atk_2	ChrSound.FHMagician_1H_Atk_3	ChrSound.FHMagician_1H_Atk_4	ChrSound.FHMagician_1H_Atk_5	5	ChrSound.FHMagician_1H_Atk_1	ChrSound.FHMagician_1H_Atk_2	ChrSound.FHMagician_1H_Atk_3	ChrSound.FHMagician_1H_Atk_4	ChrSound.FHMagician_1H_Atk_5	5	ChrSound.FHMagician_2H_Atk_1	ChrSound.FHMagician_2H_Atk_2	ChrSound.FHMagician_2H_Atk_3	ChrSound.FHMagician_2H_Atk_4	ChrSound.FHMagician_2H_Atk_5	5	ChrSound.FHMagician_1H_Atk_1	ChrSound.FHMagician_1H_Atk_2	ChrSound.FHMagician_1H_Atk_3	ChrSound.FHMagician_1H_Atk_4	ChrSound.FHMagician_1H_Atk_5	5	ChrSound.FHMagician_Pole_Atk_1	ChrSound.FHMagician_Pole_Atk_2	ChrSound.FHMagician_Pole_Atk_3	ChrSound.FHMagician_Pole_Atk_4	ChrSound.FHMagician_Pole_Atk_5	1		0		5	ChrSound.FHMagician_1H_Atk_1	ChrSound.FHMagician_1H_Atk_2	ChrSound.FHMagician_1H_Atk_3	ChrSound.FHMagician_1H_Atk_4	ChrSound.FHMagician_1H_Atk_5
