id	int1	int2	enable_?	tip
1	3	101	1	a,You can drag Soulshots and Spiritshots from your inventory to your shortcut bar for ease of use. \\n Right-clicking their icons will enable them for auto-use.\0
2	2	102	1	a,The Grand Olympiad runs daily from 8:00 PM CST to 12:00 AM CST\\n(8:00 PM GMT+1 to 12:00 AM GMT+1 on the Teon and Franz servers).\0
3	2	0	0	a,If you'd like to run 2 accounts from one computer (at a PC café,\\nfor instance), make sure one is a fixed amount account.\0
4	2	0	1	a,One game day comprises 4 hours of real world time. In every game day,\\n 3 hours are allocated for daylight and 1 hour for nighttime. \\nUse the "/time" command to check the current game time.\0
5	3	0	1	a,You can change the camera perspective by using the Page Up\\nand Page Down keys.\0
6	2	0	1	a,You can switch between chat windows by using the Alt + Page Up and Alt + Page Down keys.\0
7	3	0	1	a,Regular game maintenance is performed  every Tuesday from 10:00 AM - 12:00 PM CST\\n(5:00 PM GMT+1 to 7:00 PM GMT+1).\0
8	1	0	1	a,The total number of items allowable in your private warehouse includes items being freighted to that character.\0
9	1	0	1	a,To reset in-game windows to their default location, select Option > Game Tab > Initialize.\0
10	3	101	1	a,Invite or delete friends in the game with the "/friendinvite" and "/frienddel"\\ncommands. View and manage your friend list using "/friendlist".\0
11	2	101	1	a,Characters from the same account do not share a warehouse. \\n You can move items from one to the other by asking a warehouse freightman about cargo transport.\0
12	3	0	1	a,You can identify the quest type by the color of the exclamation point\\ndisplayed above an NPC's head.  Ordinary quests are orange,\\nwhile special quests are blue.\0
13	3	0	1	a,(including a cargo warehouse) > (this includes items being freighted to that character).\0
14	4	0	1	a,Click the lock in lower corner of the shortcut window to lock the\\nicons displayed in the shortcut window. \0
15	3	0	1	a,NPCs from the Adventure Guild in each village can provide useful\\ninformation about quests and raids. \0
16	1	0	1	a,Use the "/block (name)" command to prevent unwanted private\\nmessages from specified players.\0
17	3	0	1	a,If the fee for an auction-type clan hall is not paid, a payment due\\nmessage will be displayed. If payment is not made within 7days,\\nthe clan hall ownership will be automatically revoked.\0
18	4	0	1	a,You must own Fortress of the Dead, Devastated Castle, an Aden clan hall or be a castle lord\\nin order to ride a Wyvern.\0
19	3	0	1	a,To obtain a new item by summoning or clicking on it, your personal inventory\\nweight gauge must be lower than 80%, and you must\\nhave more than 10 open slots.\0
20	3	0	1	a,The competition and seal validation period for Seven Signs begins\\n every Monday at 6:00 PM CST. Players can join Seven Signs by\\nmeeting with a village priest during the competition period.\0
21	3	0	1	a,If a pet is not resurrected within 20 minutes of its death, it will disappear from the world forever.\0
22	2	102	1	a,The "Repent Your Sins" quest cannot be shared between main class\\nand sub-class. If you transfer your class before completing \\nthe quest, it is automatically terminated.\0
23	3	0	1	a,Allow approximately 7 days to completely delete a character from\\nyour account.\0
24	3	0	1	a,The fishing system is divided into night fishing and general fishing.\\nNight fishing is available from 12:00 AM - 6:00 AM (game  time).\\nLuminous Bait can only be used for night fishing.\0
25	3	0	1	a,To change the screen to windowed mode, press Alt + Enter.\\nPress it again to return to fullscreen mode.\0
26	3	102	1	a,View Grand Olympiad scores and your individual Olympiad points by\\nusing the "/olympiadstat" command. \0
27	2	0	1	a,Use the "/clanpenalty" command to view any current penalties for\\ndismissing clan members or dissolving a clan.\0
28	4	101	1	a,Use the bulletin board "bookmark" function to add a page to your\\n"favorites" section.\0
29	4	101	1	a,Enter and save messages using the bulletin board "memo" function.\0
30	4	101	1	a,Use the bulletin board "mail" function to send a message to players\\nnot currently logged in.\0
31	4	101	1	a,Use the "friends" bulletin board function to edit your friends list or send\\na message to someone registered as a friend.\0
32	4	101	1	a,When choosing "Screenshot Quality" in the game options, select bitmap\\nto save as a bmp file in the Lineage II system folder.\\nSelect high/middle/low to save as a jpg file.\0
33	2	101	1	a,The target window will display characteristics and other information\\nfor a monster, and clan and rank information for players.\0
34	2	101	1	a,With the macro function, use "%target" to automatically enter the  target's name\\nand "%party1-8" to assign each party member a corresponding number.\0
35	4	101	1	a,In the skill window, "active skills" affect attacking speed and "Magic skills" affect casting speed.\0
36	3	101	1	a,During a quest, press the Target Loc. button on the map to view\\nthe quest target's location.\0
37	4	102	1	a,Some head accessory items are created with recipes and items obtained through fishing.\0
38	4	102	0	a,Use the Prize-Winning Fishing Lure to increase your chances of\\ncatching a big fish and earning bonuses.\0
39	2	102	1	a,Skills obtained through Proof of Catching a Fish cannot be shared\\nbetween main and sub-class.\0
40	3	0	1	a,After entering a request to dissolve a clan, players must wait\\n7 days before the clan is dissolved.\0
41	4	0	1	a,You may only declare a Clan War against a Level 3 or higher clan\\nwith 15 or more members.\0
42	1	101	1	a,Search for items in a village using the "findprivatestore" button  or\\n"/findprivatestore" command.\0
43	3	102	0	a,Following disconnection from a raid on Zaken, Baium or Antharas,\\nif you attempt to log in after 10 minutes have passed,\\nyou will be transported to the nearest village.\0
44	3	102	1	a,When using the command channel while raiding Baium,\\nAntharas or Valakas,  a 5 minute looting priority privilege will be given to\\nthe command channel party.\0
45	3	102	1	a,You can tame certain animals on the Beast Farm by using spices obtained from\\nthe Feed Seller. Once tamed, these animals will periodically buff, heal and recharge you.\0
46	3	0	0	a,When naming characters, you may use Korean consonants or\\nChinese characters.\0
47	2	0	1	a,You can move multiple quantities of the same item by dragging them\\nwith the mouse cursor while pressing the Alt key.\0
48	3	0	1	a,If you are a member of clans that own a castle or alliance clans, you must leave your clan before\\n6:00 PM CST on Monday to join the Dawn side during the Seven Signs competition.\0
49	2	0	1	a,D and C grade weapon items can be upgraded and exchanged\\nby the Blacksmith of Mammon.\0
50	3	102	1	a,You can improve resurrection by increasing your WIT level, improving\\nExp restoration by up to 20%.\0
