name	floats_1[0]	floats_1[1]	floats_1[2]	ints_1[0]	ints_1[1]	ints_1[2]	floats_2[0]	floats_2[1]	floats_2[2]	ints_2[0]	ints_2[1]	ints_2[2]	floats_3[0]	floats_3[1]	floats_3[2]	ints_3[0]	ints_3[1]	ints_3[2]	floats_4[0]	floats_4[1]	floats_4[2]	ints_4[0]	ints_4[1]	ints_4[2]	floats_5[0]	floats_5[1]	floats_5[2]	ints_5[0]	ints_5[1]	ints_5[2]	floats_6[0]	floats_6[1]	floats_6[2]	ints_6[0]	ints_6[1]	ints_6[2]	floats_7[0]	floats_7[1]	floats_7[2]	ints_7[0]	ints_7[1]	ints_7[2]	floats_8[0]	floats_8[1]	floats_8[2]	ints_8[0]	ints_8[1]	ints_8[2]	floats_9[0]	floats_9[1]	floats_9[2]	ints_9[0]	ints_9[1]	ints_9[2]	floats_A[0]	floats_A[1]	floats_A[2]	ints_A[0]	ints_A[1]	ints_A[2]	floats_B[0]	floats_B[1]	floats_B[2]	ints_B[0]	ints_B[1]	ints_B[2]	floats_C[0]	floats_C[1]	floats_C[2]	ints_C[0]	ints_C[1]	ints_C[2]	floats_D[0]	floats_D[1]	floats_D[2]	ints_D[0]	ints_D[1]	ints_D[2]	floats_E[0]	floats_E[1]	floats_E[2]	ints_E[0]	ints_E[1]	ints_E[2]	floats_F[0]	floats_F[1]	floats_F[2]	ints_F[0]	ints_F[1]	ints_F[2]
LineageAccessory.Fdwarf_hairpin_m000_a	3.00000000	-0.60000002	2.15000010	16384	32768	0	3.50000000	-0.60000002	2.09999990	16384	32768	0	3.00000000	-1.00000000	2.15000010	16384	32768	0	3.50000000	-0.30000001	2.15000010	16000	32768	0	3.20000005	-0.80000001	2.09999990	15000	34000	0	3.20000005	-0.80000001	2.40000010	13500	-9500	32768	3.00000000	-0.60000002	2.15000010	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Ffighter_hairpin_m000_a	3.40000010	0.00000000	1.70000005	16384	32768	0	3.40000010	0.00000000	1.79999995	16384	32768	0	3.40000010	0.00000000	1.79999995	16384	32768	0	3.40000010	0.00000000	1.89999998	16384	32768	0	3.40000010	0.00000000	1.79999995	16384	32768	0	3.40000010	0.00000000	1.95000005	16384	32768	0	3.40000010	0.10000000	1.70000005	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Felf_hairpin_m000_a	3.00000000	0.69999999	1.75000000	16384	32768	0	3.00000000	0.69999999	1.75000000	16384	32768	0	3.00000000	0.69999999	1.75000000	16384	32768	0	3.00000000	0.69999999	1.89999998	16384	32768	0	3.00000000	0.69999999	1.89999998	16384	32768	0	3.00000000	0.69999999	1.79999995	16384	32768	0	3.00000000	0.69999999	1.79999995	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fdarkelf_hairpin_m000_a	2.79999995	0.40000001	1.70000005	15500	32768	0	2.79999995	0.20000000	1.70000005	15500	32768	0	2.90000010	0.50000000	1.70000005	15500	32768	0	2.79999995	0.20000000	1.70000005	15500	32768	0	2.70000005	0.25000000	1.70000005	15000	33500	0	2.70000005	0.20000000	1.70000005	15500	32768	0	2.70000005	0.20000000	1.60000002	15000	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fmagic_hairpin_m000_a	3.09999990	0.00000000	1.50000000	16384	32768	0	2.90000010	0.20000000	1.50000000	15000	32768	0	3.00000000	0.10000000	1.50000000	15500	32768	0	2.90000010	0.20000000	1.64999998	16200	32768	0	2.90000010	0.00000000	1.64999998	15500	32768	0	2.90000010	0.20000000	1.60000002	14500	33500	0	3.00000000	0.10000000	1.60000002	15500	33000	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Forc_hairpin_m000_a	3.29999995	0.60000002	1.89999998	15500	35000	0	3.29999995	0.80000001	1.89999998	15500	35000	0	3.29999995	0.50000000	1.79999995	16384	32768	0	3.29999995	0.80000001	1.85000002	16384	35000	0	3.40000010	0.89999998	1.89999998	15500	35000	0	3.40000010	0.89999998	2.00000000	16384	34000	0	3.50000000	0.80000001	2.09999990	15500	34000	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fshaman_hairpin_m000_a	3.09999990	0.30000001	1.89999998	16384	32768	0	3.20000005	0.50000000	1.89999998	16384	32768	0	3.20000005	0.25000000	2.00000000	14000	32768	0	3.29999995	0.00000000	1.79999995	16384	32768	0	3.40000010	0.60000002	1.89999998	17500	33000	0	3.29999995	0.30000001	1.89999998	16384	32768	0	3.29999995	0.30000001	1.89999998	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Fdwarf_hero_cap_m000_a	4.50000000	-0.69999999	0.00000000	16384	32768	0	4.50000000	-0.60000002	0.00000000	16384	32768	0	4.50000000	-0.60000002	0.00000000	16384	32768	0	4.50000000	-0.69999999	0.00000000	16384	32768	0	4.50000000	-0.69999999	0.00000000	16384	32768	0	4.50000000	-0.75000000	0.00000000	16384	32768	0	4.50000000	-0.50000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Mdwarf_hero_cap_m000_a	6.00000000	0.69999999	0.00000000	16384	-30000	0	6.00000000	0.69999999	0.00000000	16384	-30000	0	6.00000000	0.69999999	0.00000000	16384	-30000	0	6.00000000	0.69999999	0.00000000	16384	-30000	0	6.00000000	0.69999999	0.00000000	16384	-30000	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
LineageAccessory.Felf_hero_cap_m000_a	4.90000010	0.20000000	0.00000000	16384	32768	0	4.90000010	0.20000000	0.00000000	16384	32768	0	4.90000010	0.20000000	0.00000000	16384	32768	0	4.90000010	0.20000000	0.00000000	16384	32768	0	4.90000010	-0.30000001	0.00000000	16384	32768	0	4.90000010	-0.10000000	0.00000000	16384	32768	0	4.90000010	0.20000000	0.00000000	16384	32768	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0	0.00000000	0.00000000	0.00000000	0	0	0
