m0_a0	m0_b0	m0_a1	m0_b1	m0_a2	m0_b2	m0_a3	m0_b3	m0_a4	m0_b4	m0_a5	m0_b5	m0_a6	m0_b6	m0_a7	m0_b7	m0_a8	m0_b8	m0_a9	m0_b9	m1_a0	m1_b0	m1_a1	m1_b1	m1_a2	m1_b2	m1_a3	m1_b3	m1_a4	m1_b4	m1_a5	m1_b5	m1_a6	m1_b6	m1_a7	m1_b7	m1_a8	m1_b8	m1_a9	m1_b9	m2_a0	m2_b0	m2_a1	m2_b1	m2_a2	m2_b2	m2_a3	m2_b3	m2_a4	m2_b4	m2_a5	m2_b5	m2_a6	m2_b6	m2_a7	m2_b7	m2_a8	m2_b8	m2_a9	m2_b9	m3_a0	m3_b0	m3_a1	m3_b1	m3_a2	m3_b2	m3_a3	m3_b3	m3_a4	m3_b4	m3_a5	m3_b5	m3_a6	m3_b6	m3_a7	m3_b7	m3_a8	m3_b8	m3_a9	m3_b9	m4_a0	m4_b0	m4_a1	m4_b1	m4_a2	m4_b2	m4_a3	m4_b3	m4_a4	m4_b4	m4_a5	m4_b5	m4_a6	m4_b6	m4_a7	m4_b7	m4_a8	m4_b8	m4_a9	m4_b9	m5_a0	m5_b0	m5_a1	m5_b1	m5_a2	m5_b2	m5_a3	m5_b3	m5_a4	m5_b4	m5_a5	m5_b5	m5_a6	m5_b6	m5_a7	m5_b7	m5_a8	m5_b8	m5_a9	m5_b9
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	-1	-1	-1	-1	3	0	0	0	4	0	0	0	4	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	-1	-1	-1	-1	4	0	0	0	5	0	0	0	5	0	0	0	-1	-1	-1	-1	6	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	0	0	0	0	1	0	0	0	1	0	0	0	-1	-1	-1	-1	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	5	0	0	0	5	0	0	0	-1	-1	-1	-1	6	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	1	0	0	0	-1	-1	-1	-1	2	0	0	0	-1	-1	-1	-1	3	0	0	0	4	0	0	0	4	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	5	0	0	0	5	0	0	0	6	0	0	0	6	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	5	0	0	0	5	0	0	0	6	0	0	0	6	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	4	0	0	0	4	0	0	0	5	0	0	0	5	0	0	0	6	0	0	0	6	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	-1	-1	-1	-1	9	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
