id	dye_id	name	icon	symbol_add_name	symbol_add_desc
1	4445	a,Symbol of Strength\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Con-3\0	a,Str+1 Con-3\0
2	4446	a,Symbol of Strength\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Dex-3\0	a,Str+1 Dex-3\0
3	4447	a,Symbol of Constitution\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Str-3\0	a,Con+1 Str-3\0
4	4448	a,Symbol of Constitution\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Dex-3\0	a,Con+1 Dex-3\0
5	4449	a,Symbol of Dexterity\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Str-3\0	a,Dex+1 Str-3\0
6	4450	a,Symbol of Dexterity\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Con-3\0	a,Dex+1 Con-3\0
7	4451	a,Symbol of Intelligence\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Men-3\0	a,Int+1 Men-3\0
8	4452	a,Symbol of Intelligence\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Wit-3\0	a,Int+1 Wit-3\0
9	4453	a,Symbol of Mental Strength\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Int-3\0	a,Men+1 Int-3\0
10	4454	a,Symbol of Mental Strength\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Wit-3\0	a,Men+1 Wit-3\0
11	4455	a,Symbol of Wit\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Int-3\0	a,Wit+1 Int-3\0
12	4456	a,Symbol of Wit\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Men-3\0	a,Wit+1 Men-3\0
13	4457	a,Symbol of Strength\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Con-2\0	a,Str+1 Con-2\0
14	4458	a,Symbol of Strength\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Dex-2\0	a,Str+1 Dex-2\0
15	4459	a,Symbol of Constitution\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Str-2\0	a,Con+1 Str-2\0
16	4460	a,Symbol of Constitution\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Dex-2\0	a,Con+1 Dex-2\0
17	4461	a,Symbol of Dexterity\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Str-2\0	a,Dex+1 Str-2\0
18	4462	a,Symbol of Dexterity\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Con-2\0	a,Dex+1 Con-2\0
19	4463	a,Symbol of Intelligence\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Men-2\0	a,Int+1 Men-2\0
20	4464	a,Symbol of Intelligence\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Wit-2\0	a,Int+1 Wit-2\0
21	4465	a,Symbol of Mental Strength\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Int-2\0	a,Men+1 Int-2\0
22	4466	a,Symbol of Mental Strength\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Wit-2\0	a,Men+1 Wit-2\0
23	4467	a,Symbol of Wit\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Int-2\0	a,Wit+1 Int-2\0
24	4468	a,Symbol of Wit\0	a,icon.etc_wit_symbol_i00\0	a,Wit+1 Men-2\0	a,Wit+1 Men-2\0
25	4469	a,Symbol of Strength\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Con-1\0	a,Str+1 Con-1\0
26	4470	a,Symbol of Strength\0	a,icon.etc_str_symbol_i00\0	a,Str+1 Dex-1\0	a,Str+1 Dex-1\0
27	4471	a,Symbol of Constitution\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Str-1\0	a,Con+1 Str-1\0
28	4472	a,Symbol of Constitution\0	a,icon.etc_con_symbol_i00\0	a,Con+1 Dex-1\0	a,Con+1 Dex-1\0
29	4473	a,Symbol of Dexterity\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Str-1\0	a,Dex+1 Str-1\0
30	4474	a,Symbol of Dexterity\0	a,icon.etc_dex_symbol_i00\0	a,Dex+1 Con-1\0	a,Dex+1 Con-1\0
31	4475	a,Symbol of Intelligence\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Men-1\0	a,Int+1 Men-1\0
32	4476	a,Symbol of Intelligence\0	a,icon.etc_int_symbol_i00\0	a,Int+1 Wit-1\0	a,Int+1 Wit-1\0
33	4477	a,Symbol of Mental Strength\0	a,icon.etc_men_symbol_i00\0	a,Men+1 Int-1\0	a,Men+1 Int-1\0
