id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	unk_2	affiliated_area_id	name
1	0	0	0	0.00000000	0.00000000	0.00000000	0	1	a,Dion Territory\0
2	1	25	0	50568.00000000	152408.00000000	-2656.00000000	0	1	a,Execution Grounds\0
3	1	23	0	50081.00000000	116859.00000000	-2176.00000000	0	1	a,Partisan's Hideaway\0
4	1	25	0	5106.00000000	126916.00000000	-3664.00000000	0	1	a,Cruma Marshlands\0
5	2	40	0	17225.00000000	114173.00000000	-3440.00000000	0	1	a,Cruma Tower\0
6	1	20	0	38291.00000000	148029.00000000	-3696.00000000	0	1	a,Mandragora Farm\0
7	3	0	0	16856.00000000	144673.00000000	-3000.00000000	0	1	a,Town of Dion\0
8	3	0	0	17308.00000000	170368.00000000	-3495.00000000	0	1	a,Floran Village\0
9	3	0	0	22310.00000000	155917.00000000	-2952.00000000	0	1	a,Dion Castle\0
10	1	46	0	59170.00000000	164817.00000000	-2856.00000000	0	1	a,Tanor Canyon\0
11	1	34	0	22944.00000000	182122.00000000	-2640.00000000	0	1	a,Bee Hive\0
12	1	20	0	29928.00000000	151415.00000000	2392.00000000	0	1	a,Dion Hills\0
13	1	30	0	10610.00000000	156322.00000000	-2472.00000000	0	1	a,Floran Agricultural Area\0
14	1	23	0	630.00000000	179184.00000000	-3720.00000000	0	1	a,Plains of Dion\0
15	5	0	0	43962.00000000	108861.00000000	-2032.00000000	0	1	a,Fortress of Resistance\0
16	0	0	0	0.00000000	0.00000000	0.00000000	0	16	a,Giran Territory\0
17	3	0	0	105918.00000000	109759.00000000	-3170.00000000	0	16	a,Hardin's Academy\0
18	1	45	0	79745.00000000	115299.00000000	-3720.00000000	0	16	a,Dragon Valley\0
19	2	60	0	131557.00000000	114509.00000000	-3712.00000000	0	16	a,Antharas' Lair \0
20	2	79	0	177160.00000000	114922.00000000	-7704.00000000	0	16	a,Antharas' Nest\0
21	1	35	0	67933.00000000	117045.00000000	-3544.00000000	0	16	a,Death Pass\0
22	7	0	0	41528.00000000	198358.00000000	-4648.00000000	0	16	a,Pirate Tunnel\0
23	2	45	0	43408.00000000	206881.00000000	-3752.00000000	0	16	a,Devil's Isle\0
24	4	0	0	47938.00000000	186864.00000000	-3420.00000000	0	16	a,Giran Harbor\0
25	3	0	0	83475.00000000	147966.00000000	-3404.00000000	0	16	a,Giran Castle Town\0
26	6	0	0	73579.00000000	142709.00000000	-3768.00000000	0	16	a,Giran Arena\0
27	3	0	0	112077.00000000	144869.00000000	-2824.00000000	0	16	a,Giran Castle\0
28	1	30	0	85546.00000000	131328.00000000	-3672.00000000	0	16	a,Breka's Stronghold\0
29	1	31	0	113553.00000000	134813.00000000	-3540.00000000	0	16	a,Gorgon Flower Garden\0
30	0	0	0	0.00000000	0.00000000	0.00000000	0	30	a,Gludio Territory\0
31	1	15	0	-19120.00000000	136816.00000000	-3762.00000000	0	30	a,Ruins of Despair\0
32	1	15	0	-42628.00000000	119766.00000000	-3528.00000000	0	30	a,Ruins of Agony\0
33	1	25	0	-22726.00000000	190368.00000000	-4304.00000000	0	30	a,Wasteland\0
34	2	29	0	-9959.00000000	176184.00000000	-4160.00000000	0	30	a,The Ant Nest\0
35	3	0	0	-80684.00000000	149770.00000000	-3043.00000000	0	30	a,Gludin Village\0
36	4	0	0	-91101.00000000	150344.00000000	-3624.00000000	0	30	a,Gludin Harbor\0
37	3	0	0	-12787.00000000	122779.00000000	-3114.00000000	0	30	a,Town of Gludio\0
38	1	21	0	-49853.00000000	147089.00000000	-2784.00000000	0	30	a,Abandoned Camp \0
39	1	24	0	-89763.00000000	105359.00000000	-3576.00000000	0	30	a,Orc Barracks\0
40	2	27	0	-53001.00000000	191425.00000000	-3568.00000000	0	30	a,Forgotten Temple\0
41	7	0	0	-57798.00000000	127629.00000000	-2928.00000000	0	30	a,Fellmere Lake\0
42	6	0	0	-87328.00000000	142266.00000000	-3640.00000000	0	30	a,Gludin Arena\0
43	3	0	0	-18341.00000000	113946.00000000	-1268.00000000	0	30	a,Gludio Castle\0
44	1	26	0	-88539.00000000	83389.00000000	-2864.00000000	0	30	a,Windy Hill\0
45	1	30	0	-44829.00000000	188171.00000000	-3256.00000000	0	30	a,Red Rock Ridge\0
46	1	16	0	-44763.00000000	203497.00000000	-3592.00000000	0	30	a,Langk Lizardmen Dwellings\0
47	1	24	0	-25283.00000000	106820.00000000	-3416.00000000	0	30	a,Maille Lizardmen Barracks\0
48	7	0	0	-84141.00000000	244623.00000000	-3729.00000000	0	30	a,Talking Island\0
49	3	0	0	-84141.00000000	244623.00000000	-3729.00000000	0	30	a,Talking Island Village\0
50	3	0	0	-72674.00000000	256819.00000000	-3112.00000000	0	30	a,Cedric's Training Hall\0
51	3	0	0	-89041.00000000	248907.00000000	-3568.00000000	0	30	a,Einhovant's School of Magic\0
52	7	0	0	-99586.00000000	237637.00000000	-3568.00000000	0	30	a,Obelisk of Victory\0
53	2	9	0	-112367.00000000	234703.00000000	-3688.00000000	0	30	a,Elven Ruins\0
54	4	0	0	-96811.00000000	259153.00000000	-3616.00000000	0	30	a,Talking Island Harbor\0
55	1	8	0	-104344.00000000	226217.00000000	-3616.00000000	0	30	a,Talking Island, Western Territory\0
56	1	1	0	-95336.00000000	240478.00000000	-3264.00000000	0	30	a,Talking Island, Eastern Territory\0
57	1	17	0	-63736.00000000	101522.00000000	-3552.00000000	0	30	a,Fellmere Harvesting Grounds\0
58	1	15	0	-72417.00000000	173629.00000000	-3648.00000000	0	30	a,Windmill Hill\0
59	1	19	0	-50174.00000000	129303.00000000	-2912.00000000	0	30	a,Ruins of Agony Bend\0
60	1	14	0	-6989.00000000	109503.00000000	-3040.00000000	0	30	a,Evil Hunting Grounds\0
61	1	19	0	-36652.00000000	135591.00000000	-3160.00000000	0	30	a,Entrance to the Ruins of Despair\0
62	1	22	0	-24794.00000000	156502.00000000	-2880.00000000	0	30	a,Windawood Manor\0
63	1	22	0	-6661.00000000	201880.00000000	-3632.00000000	0	30	a,Ol Mahum Checkpoint\0
64	2	36	0	-26489.00000000	195307.00000000	-3928.00000000	0	30	a,Ant Incubator\0
65	7	0	0	-111728.00000000	244330.00000000	-3448.00000000	0	30	a,Singing Waterfall\0
66	1	15	0	-10612.00000000	75881.00000000	-3592.00000000	0	30	a,The Neutral Zone\0
67	0	0	0	0.00000000	0.00000000	0.00000000	0	67	a,Oren Territory\0
68	1	8	0	21362.00000000	51122.00000000	-3688.00000000	0	67	a,Elven Forest\0
69	1	1	0	50953.00000000	42105.00000000	-3480.00000000	0	67	a,Shadow of the Mother Tree\0
70	3	0	0	46951.00000000	51550.00000000	-2976.00000000	0	67	a,Elven Village\0
71	2	10	0	29294.00000000	74968.00000000	-3776.00000000	0	67	a,Elven Fortress\0
72	7	0	0	51469.00000000	82600.00000000	-3312.00000000	0	67	a,Iris Lake\0
73	1	8	0	-22224.00000000	14168.00000000	-3232.00000000	0	67	a,The Dark Forest\0
74	3	0	0	25934.00000000	11037.00000000	-3720.00000000	0	67	a,The Shilen Temple\0
75	3	0	0	9709.00000000	15566.00000000	-4500.00000000	0	67	a,Dark Elf Village\0
76	2	10	0	-47543.00000000	58478.00000000	-3336.00000000	0	67	a,School of Dark Arts\0
77	1	13	0	-19048.00000000	48198.00000000	-3616.00000000	0	67	a,Swampland\0
78	7	0	0	-44566.00000000	77508.00000000	-3736.00000000	0	67	a,Altar of Rites\0
79	1	40	0	64328.00000000	26803.00000000	-3768.00000000	0	67	a,Sea of Spores\0
80	5	0	0	87091.00000000	-20354.00000000	-2072.00000000	0	67	a,Bandit Stronghold\0
81	3	0	0	85391.00000000	16228.00000000	-3640.00000000	0	67	a,Ivory Tower\0
82	3	0	0	82971.00000000	53207.00000000	-1470.00000000	0	67	a,Town of Oren\0
83	3	0	0	78189.00000000	36936.00000000	-2560.00000000	0	67	a,Oren Castle\0
84	1	35	0	87252.00000000	85514.00000000	-3103.00000000	0	67	a,Plains of the Lizardmen\0
85	1	54	0	89914.00000000	46276.00000000	-3616.00000000	0	67	a,Skyshadow Meadow\0
86	1	1	0	23863.00000000	11068.00000000	-3720.00000000	0	67	a,Shilen's Garden\0
87	1	13	0	-29466.00000000	66678.00000000	-3496.00000000	0	67	a,Black Rock Hill\0
88	1	16	0	-61095.00000000	75104.00000000	-3383.00000000	0	67	a,Spider Nest\0
89	1	40	0	67097.00000000	68815.00000000	-3648.00000000	0	67	a,Timak Outpost \0
90	1	40	0	85391.00000000	16228.00000000	-3640.00000000	0	67	a,Ivory Tower Crater\0
91	1	45	0	93218.00000000	16969.00000000	-3904.00000000	0	67	a,Forest of Evil\0
92	1	50	0	91539.00000000	-12204.00000000	-2440.00000000	0	67	a,Outlaw Forest\0
93	7	0	0	61740.00000000	94946.00000000	-1488.00000000	0	67	a,Misty Mountains\0
94	7	0	0	58502.00000000	53453.00000000	-3624.00000000	0	67	a,Starlight Waterfall\0
95	7	0	0	-7233.00000000	57006.00000000	-3520.00000000	0	67	a,Undine Waterfall\0
96	7	0	0	70456.00000000	6591.00000000	-3632.00000000	0	67	a,The Gods' Falls\0
97	0	0	0	0.00000000	0.00000000	0.00000000	0	97	a,Aden Territory\0
98	2	60	0	114649.00000000	11115.00000000	-5100.00000000	0	97	a,Tower of Insolence\0
99	1	65	0	159455.00000000	-12931.00000000	-2872.00000000	0	97	a,Blazing Swamp\0
100	5	0	0	178358.00000000	-14192.00000000	-2256.00000000	0	97	a,Devastated Castle\0
101	1	60	0	185319.00000000	20218.00000000	-3264.00000000	0	97	a,The Forbidden Gateway\0
102	2	55	0	181737.00000000	46469.00000000	-4276.00000000	0	97	a,The Giant's Cave\0
103	1	45	0	124904.00000000	61992.00000000	-3973.00000000	0	97	a,The Enchanted Valley\0
104	1	50	0	167047.00000000	20304.00000000	-3328.00000000	0	97	a,The Cemetery\0
105	1	40	0	142065.00000000	81300.00000000	-3000.00000000	0	97	a,The Forest of Mirrors\0
106	7	0	0	166304.00000000	91741.00000000	-3168.00000000	0	97	a,Anghel Waterfall\0
107	3	0	0	146783.00000000	25808.00000000	-2000.00000000	0	97	a,Town of Aden\0
108	3	0	0	117088.00000000	76931.00000000	-2670.00000000	0	97	a,Hunters Village\0
109	7	0	0	158141.00000000	-24543.00000000	-1288.00000000	0	97	a,Eastern Border Outpost\0
110	6	0	0	146440.00000000	46723.00000000	-3400.00000000	0	97	a,Coliseum\0
111	7	0	0	146440.00000000	46723.00000000	-3400.00000000	0	97	a,Narsell Lake\0
112	3	0	0	147461.00000000	9898.00000000	-592.00000000	0	97	a,Aden Castle\0
113	1	64	0	106517.00000000	-2871.00000000	-3454.00000000	0	97	a,Ancient Battleground\0
114	1	55	0	167285.00000000	37109.00000000	-4008.00000000	0	97	a,Forsaken Plains \0
115	1	74	0	170838.00000000	55776.00000000	-5280.00000000	0	97	a,Silent Valley\0
116	1	40	0	114306.00000000	86573.00000000	-3112.00000000	0	97	a,Hunters Valley\0
117	1	45	0	135580.00000000	19467.00000000	-3424.00000000	0	97	a,Plains of Glory\0
118	1	55	0	183543.00000000	-14974.00000000	-2768.00000000	0	97	a,Fields of Massacre\0
119	1	45	0	156898.00000000	11217.00000000	-4032.00000000	0	97	a,War-Torn Plains\0
120	7	0	0	112405.00000000	-16607.00000000	-1864.00000000	0	97	a,Western Border Outpost\0
121	0	0	0	0.00000000	0.00000000	0.00000000	0	121	a,Innadril Territory\0
122	1	35	0	91088.00000000	182384.00000000	-3192.00000000	0	121	a,Field of Silence\0
123	1	35	0	74592.00000000	207656.00000000	-3032.00000000	0	121	a,Field of Whispers\0
124	2	40	0	84413.00000000	234334.00000000	-3656.00000000	0	121	a,Garden of Eva\0
125	1	40	0	115583.00000000	192261.00000000	-3488.00000000	0	121	a,Alligator Island\0
