id	name	add_name	description	popup	set_ids	set_bonus_desc	set_extra_id	set_extra_desc	unk[0]	unk[1]	special_enchant_amount	special_enchant_desc
17	Wooden Arrow		a,An arrow made of wood. It is an arrow used for a no grade bow.\0	-1	a,	a,	a,	a,	0	0	0	a,
57	Adena		a,	-1	a,	a,	a,	a,	0	0	0	a,
65	Red Potion		a,	-1	a,	a,	a,	a,	0	0	0	a,
686	Chair		a,Chair\0	-1	a,	a,	a,	a,	0	0	0	a,
687	Darin's Letter		a,The love letter that Darin has written to Roxxy. Darin has asked you to deliver this letter to Gatekeeper Roxxy.\0	-1	a,	a,	a,	a,	0	0	0	a,
688	Roxxy's Kerchief		a,Roxxy's handkerchief. This is the reply that Roxxy has given to Darin's letter, and must be delivered to Darin.\0	-1	a,	a,	a,	a,	0	0	0	a,
689	Poetry Book		a,A poetry book treasured by Arujien. The book contains poems that he has written. Take this to Greenis.\0	-1	a,	a,	a,	a,	0	0	0	a,
690	Lyrics Book		a,The lyrics book of Herbien\0	-1	a,	a,	a,	a,	0	0	0	a,
691	Romance Novel		a,A romance novel\0	-1	a,	a,	a,	a,	0	0	0	a,
692	Arujien's Letter		a,Arujien's letter\0	-1	a,	a,	a,	a,	0	0	0	a,
693	Greenis's Letter		a,Greenis's letter, refusing Arujien's love. Take this to Arujien.\0	-1	a,	a,	a,	a,	0	0	0	a,
694	Ingredient List		a,A list of ingredients: 3 omen beast bloods, 2 mana seeker husks, 2 gargoyle horns\0	-1	a,	a,	a,	a,	0	0	0	a,
695	Omen Beast's Blood		a,The blood of an omen beast.\0	-1	a,	a,	a,	a,	0	0	0	a,
696	Mana Seeker's Husk		a,The husk of a mana seeker.\0	-1	a,	a,	a,	a,	0	0	0	a,
697	Gargoyle's Horn		a,The horn of a gargoyle.\0	-1	a,	a,	a,	a,	0	0	0	a,
698	Gilbert's List		a,A list of things to eliminate: orcs, hobgoblins, walking fungus\0	-1	a,	a,	a,	a,	0	0	0	a,
699	Orc's Nose		a,The nose of an orc.\0	-1	a,	a,	a,	a,	0	0	0	a,
700	Hobgoblin Amulet		a,The amulet of a hobgoblin.\0	-1	a,	a,	a,	a,	0	0	0	a,
701	Fungus Juice		a,The juice of a fungus.\0	-1	a,	a,	a,	a,	0	0	0	a,
702	Wolf Pelt		a,Gather forty wolf pelts and take them to Trader Lector of the weapons and armor shop.\0	-1	a,	a,	a,	a,	0	0	0	a,
703	Poison Sac		a,Poison sacs obtained from the dead giant spider. Take this to Priest Yohanes.\0	-1	a,	a,	a,	a,	0	0	0	a,
704	Fever Medicine		a,A medicine concocted by Priest Yohanes for the students who are ill with fever. Take this to Elias.\0	-1	a,	a,	a,	a,	0	0	0	a,
705	Orc's Amulet		a,An Orc feather amulet.\0	-1	a,	a,	a,	a,	0	0	0	a,
706	Basilisk's Claw		a,A basilisk's claw.\0	-1	a,	a,	a,	a,	0	0	0	a,
707	Spore Sac		a,A sac obtained from the spore fungus. Gather 10 of these and take them to Trader Vollodos.\0	-1	a,	a,	a,	a,	0	0	0	a,
708	Sylph Headband		a,A Sylph Headband\0	-1	a,	a,	a,	a,	0	0	0	a,
709	Leather Shirt		a,	-1	a,	a,	a,	a,	0	0	0	a,
710	Hard Leather Shirt		a,	-1	a,	a,	a,	a,	0	0	0	a,
711	Piece Bone Breastplate		a,	-1	a,	a,	a,	a,	0	0	0	a,
712	Half Plate Armor		a,	-1	a,	a,	a,	a,	0	0	0	a,
713	Leather Pants		a,	-1	a,	a,	a,	a,	0	0	0	a,
714	Hard Leather Pants		a,	-1	a,	a,	a,	a,	0	0	0	a,
715	Piece Bone Gaiters		a,	-1	a,	a,	a,	a,	0	0	0	a,
716	Plate Gaiters		a,	-1	a,	a,	a,	a,	0	0	0	a,
717	Leather Gloves		a,	-1	a,	a,	a,	a,	0	0	0	a,
718	Hard Leather Gloves		a,	-1	a,	a,	a,	a,	0	0	0	a,
719	Crafted Leather Gloves		a,	-1	a,	a,	a,	a,	0	0	0	a,
720	Reinforced Gloves		a,	-1	a,	a,	a,	a,	0	0	0	a,
721	Leather Boots		a,	-1	a,	a,	a,	a,	0	0	0	a,
722	Hard Leather Boots		a,	-1	a,	a,	a,	a,	0	0	0	a,
723	Crafted Leather Boots		a,	-1	a,	a,	a,	a,	0	0	0	a,
724	Reinforced Boots		a,	-1	a,	a,	a,	a,	0	0	0	a,
725	Healing Drug		a,A magical, liquid medicine that restores HP for a certain amount of time.\0	-1	a,	a,	a,	a,	0	0	0	a,
726	Mana Drug		a,A magical, liquid medicine that restores MP for a certain amount of time.\0	-1	a,	a,	a,	a,	0	0	0	a,
727	Healing Potion		a,A magical, liquid medicine that restores HP for a certain amount of time.\0	-1	a,	a,	a,	a,	0	0	0	a,
728	Mana Potion		a,A magical, liquid medicine that restores MP for a certain amount of time.\0	-1	a,	a,	a,	a,	0	0	0	a,
729	Scroll: Enchant Weapon (Grade A)		a,When enchanted, the P. Atk. of  A-Grade weapons such as sword/one-handed, blunt weapon/one-handed, dagger and spear etc. will increase by 4.  The P. Atk of  sword/two-handed, blunt weapon/two-handed, dualsword, and fist-fighting weapon/two-handed will increase by 5. The P. Atk. of bow weapons will increase by 8. The M. Atk. of all weapons will increase by 3. From +4, P. Atk. and M. Atk. bonus will double for all weapon types.  It can be safely enchanted up to +3.\0	-1	a,	a,	a,	a,	0	0	0	a,
