npc_id	skill_id	seq_name	skill_name	npc_name	npc_class
16013	5197	spatk02	a,s_hex1\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5197	spatk01	a,s_hex1\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	122	spatk02	a,s_hex1\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	122	spatk01	a,s_hex11\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	122	spatk01	a,s_hex12\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
12526	325	atk01	a,s_strider_siege_assault\0	a,wind_strider\0	a,strider\0
12527	325	atk01	a,s_strider_siege_assault\0	a,star_strider\0	a,strider\0
12528	325	atk01	a,s_strider_siege_assault\0	a,twilight_strider\0	a,strider\0
12621	327	Wait	a,s_wyvern_aegis\0	a,wyvern\0	a,wyvern\0
16014	5200	spatk02	a,s_recharge11\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	1013	spatk01	a,s_recharge11\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	1013	spatk02	a,s_recharge11\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	1013	spatk01	a,s_recharge121\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16013	5188	spatk02	a,s_regeneration1\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5188	spatk01	a,s_regeneration1\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	1044	spatk02	a,s_regeneration1\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	1044	spatk01	a,s_regeneration3\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	1044	spatk01	a,s_regeneration3\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
16013	5189	spatk02	a,s_bless_the_body1\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5189	spatk01	a,s_bless_the_body1\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	5189	spatk02	a,s_bless_the_body1\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	5189	social02	a,s_bless_the_body5\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	5189	social02	a,s_bless_the_body5\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
16014	5190	spatk02	a,s_bless_the_soul1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	5190	spatk01	a,s_bless_the_soul1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	5190	spatk02	a,s_bless_the_soul1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	5190	spatk01	a,s_bless_the_soul5\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16014	5194	spatk02	a,s_empower1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	5194	spatk01	a,s_empower1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	5194	spatk02	a,s_empower1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	5194	social02	a,s_empower3\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16014	5201	spatk02	a,s_concentration1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	5201	spatk01	a,s_concentration1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	5201	spatk02	a,s_concentration1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	5201	social02	a,s_concentration5\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16014	5193	spatk02	a,s_arcane_acumen1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	5193	spatk01	a,s_arcane_acumen1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	5193	spatk02	a,s_arcane_acumen1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	5193	spatk01	a,s_arcane_acumen3\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16013	5186	spatk02	a,s_haste_time_23\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5186	spatk01	a,s_haste_time_23\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	5186	spatk02	a,s_haste_time_23\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	5186	social02	a,s_haste2\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	5186	social02	a,s_haste2\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
16014	5198	atk01	a,s_slow1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	5198	spatk01	a,s_slow1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	5198	atk01	a,s_slow1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	5198	spatk01	a,s_slow10\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16014	1204	spatk02	a,s_wind_walk1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	1204	spatk01	a,s_wind_walk1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	1204	spatk02	a,s_wind_walk1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	1204	social02	a,s_wind_walk2\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16013	5196	atk01	a,s_breeze1\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5196	spatk01	a,s_breeze1\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	5196	atk01	a,s_breeze1\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	5196	social02	a,s_breeze15\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	5196	social02	a,s_breeze15\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
16013	5195	atk01	a,s_greater_heal11\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5195	spatk01	a,s_greater_heal11\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	5195	atk01	a,s_greater_heal11\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	5195	social02	a,s_greater_heal111\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	5195	social02	a,s_greater_heal121\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
16013	5191	spatk02	a,s_guidance1\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5191	spatk01	a,s_guidance1\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
16017	5191	spatk02	a,s_guidance1\0	a,tamed_kukaburo_war\0	a,LineageMonster2.pet_ostrich\0
16020	5191	social02	a,s_guidance3\0	a,tnpc_tiny_buffalo\0	a,LineageMonster2.baby_buffalo\0
16022	5191	social02	a,s_guidance3\0	a,tnpc_tiny_cougar\0	a,LineageMonster2.baby_tiger\0
16014	5199	atk01	a,s_curse_gloom1\0	a,tamed_buffalo_wiz\0	a,LineageMonster2.buffalo\0
16016	5199	spatk01	a,s_curse_gloom1\0	a,tamed_cougar_wiz\0	a,LineageMonster.saber_toothed_tiger\0
16018	5199	atk01	a,s_curse_gloom1\0	a,tamed_kukaburo_wiz\0	a,LineageMonster2.pet_ostrich\0
16024	5199	spatk01	a,s_curse_gloom8\0	a,tnpc_tiny_kukaburo\0	a,LineageMonster2.baby_tiger\0
16013	5187	spatk02	a,s_vampiric_rage1\0	a,tamed_buffalo_war\0	a,LineageMonster2.buffalo\0
16015	5187	spatk01	a,s_vampiric_rage1\0	a,tamed_cougar_war\0	a,LineageMonster.saber_toothed_tiger\0
