tag	class	mesh	cnt_tex1	tex1[0]	tex1[1]	tex1[2]	tex1[3]	tex1[4]	cnt_tex2	tex1[0]	tex1[1]	cnt_dtab1	dtab1[0]	dtab1[1]	dtab1[2]	dtab1[3]	dtab1[4]	dtab1[5]	dtab1[6]	dtab1[7]	dtab1[8]	dtab1[9]	dtab1[10]	dtab1[11]	dtab1[12]	dtab1[13]	dtab1[14]	dtab1[15]	dtab1[16]	dtab1[17]	dtab1[18]	dtab1[19]	dtab1[20]	dtab1[21]	dtab1[22]	dtab1[23]	dtab1[24]	dtab1[25]	npc_speed	unk0_cnt	unk0_tab	cnt_snd1	snd1[0]	snd1[1]	snd1[2]	cnt_snd2	snd2[0]	snd2[1]	snd2[2]	snd2[3]	snd2[4]	cnt_snd3	snd3[0]	snd3[1]	snd3[2]	rb_effect_on	rb_effect	rb_effect_fl	unk1_cnt	unk1_tab[0]	unk1_tab[1]	unk1_tab[2]	unk1_tab[3]	unk1_tab[4]	effect	UNK_2	sound_rad	sound_vol	sound_rnd	quest_be	class_lim_?
20001	LineageMonster.gremlin	LineageMonsters.gremlin_m00	1	LineageMonstersTex.gremlin_t00					0			2	4416	13																									1.00000000	0		1				3	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	MonSound.Hit_Bone_8			3	MonSound.gremlin_dmg_1	MonSound.gremlin_dmg_2	MonSound.gremlin_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20002	LineageMonster.rabbit	LineageMonsters.rabbit_m00	1	LineageMonstersTex.rabbit_t00					0			2	4416	4																									1.00000000	0		1				4	MonSound.Hit_Normal_10	MonSound.Hit_normal_3	MonSound.Hit_Wet_1	MonSound.Hit_Bone_2		3	MonSound.rabbit_dmg_1	MonSound.rabbit_dmg_2	MonSound.rabbit_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20003	LineageMonster.goblin	LineageMonsters.goblin_m00	2	LineageMonstersTex.goblin_t00	LineageMonstersTex.goblin_t01				0			2	4416	6																									1.00000000	0		3	ItemSound.club_1	ItemSound.fist_2	ItemSound.mace_3	4	MonSound.Hit_Wet_4	ItemSound.armor_leather_7	MonSound.Hit_Wet_3	MonSound.Hit_Bone_6		3	MonSound.goblin_dmg_1	MonSound.goblin_dmg_2	MonSound.goblin_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20004	LineageMonster.imp	LineageMonsters.imp_m00	2	LineageMonstersTex.imp_t00	LineageMonstersTex.imp_t01				0			6	4416	13	4281	1	4276	1																					1.00000000	0		1				5	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	ItemSound.armor_leather_3	ItemSound.armor_metal_alt_3	MonSound.Hit_Bone_6	3	MonSound.imp_dmg_1	MonSound.imp_dmg_2	MonSound.imp_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20005	LineageMonster.imp	LineageMonsters.imp_m00	2	LineageMonstersTex.imp_t00	LineageMonstersTex.imp_t01				0			14	4416	13	4410	12	4411	12	4412	10	4413	10	4281	1	4276	1													1.00000000	0		1				5	MonSound.Hit_Wet_4	MonSound.Hit_normal_3	ItemSound.armor_leather_3	ItemSound.armor_metal_alt_3	MonSound.Hit_Bone_6	3	MonSound.imp_dmg_1	MonSound.imp_dmg_2	MonSound.imp_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20006	LineageMonster.orc_archer	LineageMonsters.orc_archer_m00	2	LineageMonstersTex.orc_archer_t00	LineageMonstersTex.orc_archer_t01				0			2	4416	6																									1.00000000	0		3	ItemSound.sword_big_9	ItemSound.hammer_2	ItemSound.sword_mid_3	3	MonSound.Hit_normal_3	ItemSound.armor_leather_1	MonSound.Hit_Normal_10			3	MonSound.orc_archer_dmg_1	MonSound.orc_archer_dmg_2	MonSound.orc_archer_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20007	LineageMonster.walking_fungus	LineageMonsters.walking_fungus_m00	1	LineageMonstersTex.walking_fungus_t00					0			14	4416	5	4410	12	4411	12	4412	10	4413	10	4279	1	4277	5													1.00000000	0		1				3	MonSound.Hit_Wet_2	MonSound.Hit_normal_12	MonSound.Hit_Wet_5			3	MonSound.walking_fungus_dmg_1	MonSound.walking_fungus_dmg_2	MonSound.walking_fungus_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20008	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			10	4416	6	4410	10	4411	10	4412	12	4413	12																	1.00000000	0		3	ItemSound.sword_mid_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_dmg_1	MonSound.v_lizard_dmg_2	MonSound.v_lizard_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20009	LineageMonster.orc	LineageMonsters.orc_m00	2	LineageMonstersTex.orc_t00	LineageMonstersTex.orc_t01				0			2	4416	6																									1.00000000	0		1				4	MonSound.Hit_Shell_1	MonSound.Hit_normal_3	MonSound.Hit_Normal_4	MonSound.Hit_Bone_5		3	MonSound.orc_dmg_1	MonSound.orc_dmg_2	MonSound.orc_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
20010	LineageMonster.virud_lizardman	LineageMonsters.virud_lizardman_m00	2	LineageMonstersTex.virud_lizardman_t00	LineageMonstersTex.virud_lizardman_t01				0			10	4416	6	4410	12	4411	12	4412	10	4413	10																	1.00000000	0		3	ItemSound.sword_big_9	ItemSound.sword_big_2	ItemSound.spear_4	4	MonSound.Hit_Shell_2	MonSound.Hit_normal_3	MonSound.Hit_Metal_Clang_1	MonSound.Hit_Wet_1		3	MonSound.v_lizard_scout_dmg_1	MonSound.v_lizard_scout_dmg_2	MonSound.v_lizard_scout_dmg_3	0			1	0					LineageEffect.p_u002_a	0	50.00000000	250.00000000	70.00000000	0	1
