tag_?	quest_id	quest_prog	main_name	prog_name	description	cnt1	items[0]	items[1]	items[2]	items[3]	items[4]	items[5]	items[6]	items[7]	items[8]	items[9]	items[10]	items[11]	items[12]	items[13]	cnt2	num_items[0]	num_items[1]	num_items[2]	num_items[3]	num_items[4]	num_items[5]	num_items[6]	num_items[7]	num_items[8]	num_items[9]	num_items[10]	num_items[11]	num_items[12]	num_items[13]	quest_x	quest_y	quest_z	lvl_min	lvl_max	quest_type	entity_name	get_item_in_quest	UNK_1	UNK_2	contact_npc_id	contact_npc_x	contact_npc_y	contact_npc_z	restricions	short_description	cnt3	req_class[0]	req_class[1]	req_class[2]	req_class[3]	req_class[4]	req_class[5]	req_class[6]	req_class[7]	req_class[8]	req_class[9]	req_class[10]	req_class[11]	req_class[12]	req_class[13]	req_class[14]	req_class[15]	req_class[16]	req_class[17]	req_class[18]	req_class[19]	req_class[20]	req_class[21]	req_class[22]	req_class[23]	req_class[24]	req_class[25]	req_class[26]	req_class[27]	req_class[28]	req_class[29]	req_class[30]	req_class[31]	req_class[32]	req_class[33]	req_class[34]	req_class[35]	req_class[36]	req_class[37]	req_class[38]	req_class[39]	req_class[40]	req_class[41]	req_class[42]	req_class[43]	req_class[44]	req_class[45]	req_class[46]	req_class[47]	req_class[48]	req_class[49]	req_class[50]	req_class[51]	req_class[52]	req_class[53]	req_class[54]	req_class[55]	req_class[56]	req_class[57]	req_class[58]	req_class[59]	req_class[60]	req_class[61]	req_class[62]	req_class[63]	req_class[64]	req_class[65]	req_class[66]	req_class[67]	req_class[68]	cnt4	req_item[0]	req_item[1]	req_item[2]	req_item[3]	req_item[4]	clan_pet_quest	req_quest_complete	UNK_3	area_id
1	1	1	a,Letters of Love\0	a,Delivery of Love Letters\0	a,Darin of Talking Island Village has fallen in love with Gatekeeper Roxxy. He is too shy to express his feelings and asks you to deliver his love letter to her.\\n\0	0															0															-84108.00000000	244604.00000000	-3729.00000000	2	5	3	a,Gatekeeper Roxxy\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	a,No Requirements\0	a,Darin, a young man on Talking Island, carries a torch for Gatekeeper Roxxy, who doesn't return his affections. Darin is not so easily dissuaded, however.\0	0																																																																						0						0	0	0	30
1	1	2	a,Letters of Love\0	a,Roxxy's Kerchief\0	a,Roxxy reads Darin's letter and tells you that she admires him as well. She asks you to deliver her kerchief to him. Take Roxxy's kerchief to Darin in the village square.\\n\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	a,Darin\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	a,No Requirements\0	a,Darin, a young man on Talking Island, carries a torch for Gatekeeper Roxxy, who doesn't return his affections. Darin is not so easily dissuaded, however.\0	0																																																																						0						0	0	0	30
1	1	3	a,Letters of Love\0	a,Baulro's Magic Potion\0	a,Darin is overjoyed to learn that Roxxy returns his admiration, and says he wants to ask her for a date. He asks you to go and get a love potion promised to him by Magister Baulro at the temple.\\n\0	0															0															-84729.00000000	245001.00000000	-3726.00000000	2	5	3	a,Magister Baulro\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	a,No Requirements\0	a,Darin, a young man on Talking Island, carries a torch for Gatekeeper Roxxy, who doesn't return his affections. Darin is not so easily dissuaded, however.\0	0																																																																						0						0	0	0	30
1	1	4	a,Letters of Love\0	a,Water that Brings Out Courage\0	a,Magister Baulro admits that he deceived Darin about the potion in order to bolster his courage. He gives you a medicine bottle filled with tap water. Take it to Darin in the village square.\\n\0	0															0															-84436.00000000	242793.00000000	-3729.00000000	2	5	3	a,Darin\0	0	1	1	30048	-84436.00000000	242793.00000000	-3729.00000000	a,No Requirements\0	a,Darin, a young man on Talking Island, carries a torch for Gatekeeper Roxxy, who doesn't return his affections. Darin is not so easily dissuaded, however.\0	0																																																																						0						0	0	0	30
1	2	1	a,What Women Want\0	a,Arujien's Letter\0	a,Arujien confesses to you that he has pined for Magister Greenis for a long time. He asks you to find out if Greenis returns his affection. Meet with her younger sister, Gatekeeper Mirabel, and show her Arujien's letter.\\n\0	0															0															46926.00000000	51511.00000000	-2977.00000000	2	5	3	a,Gatekeeper Mirabel\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	a,Elf, Human\0	a,Arujian, a young man in the Elven Village, adores Magister Greenis with all his heart, but no one knows if Greenis returns his affections.\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67
1	2	2	a,What Women Want\0	a,Uncle Herbiel\0	a,Gatekeeper Mirabel says that she doesn't get involved in her sister's affairs. She suggests that you ask Trader Herbiel. You will find him in a magic shop. Show him Arujien's Letter.\\n\0	0															0															42766.00000000	50037.00000000	-2984.00000000	2	5	3	a,Trader Herbiel\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	a,Elf, Human\0	a,Arujian, a young man in the Elven Village, adores Magister Greenis with all his heart, but no one knows if Greenis returns his affections.\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67
1	2	3	a,What Women Want\0	a,Uncle's Advice\0	a,Trader Herbiel thinks that Magister Greenis likes Arujien. Go back to Arujien and give him the good news.\\n\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	a,Arujien \0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	a,Elf, Human\0	a,Arujian, a young man in the Elven Village, adores Magister Greenis with all his heart, but no one knows if Greenis returns his affections.\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67
1	2	4	a,What Women Want\0	a,Feelings that Have Turned into a Poem\0	a,Arujien says that he's written a book of poetry for Greenis. Take Arujien's poetry book to Magister Greenis.\\n\0	0															0															45000.00000000	52101.00000000	-2795.00000000	2	5	3	a,Magister Greenis\0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	a,Elf, Human\0	a,Arujian, a young man in the Elven Village, adores Magister Greenis with all his heart, but no one knows if Greenis returns his affections.\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67
1	2	5	a,What Women Want\0	a,Letter of Refusal\0	a,Magister Greenis informs you that she loves another. Take Greenis' letter of refusal to Arujian.\\n\0	0															0															42978.00000000	49115.00000000	-2994.00000000	2	5	3	a,Arujien \0	0	1	1	30223	42978.00000000	49115.00000000	-2994.00000000	a,Elf, Human\0	a,Arujian, a young man in the Elven Village, adores Magister Greenis with all his heart, but no one knows if Greenis returns his affections.\0	49	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																					0						0	0	0	67
1	3	1	a,Will the Seal be Broken?\0	a,Preparation for a Ritual\0	a,Dark Elven Tetrarch Talloth is continuing in the studies of the dark arts in order to break the seal that binds Mitraell, the leader of the Dark Elves. He asks that you to go to the school of the Dark Arts and bring him an Omen Beast's eye, a Taint Stone and Succubus Blood which are all needed to break the Seal.  This being the first stage among three stages that binds the great leader.\\n\\monsters to be hunted - Omen Beast, Tainted Zombies, Stink Zombies, Lesser Succubi, Lesser Succubus Turen and Lesser Succubus Tilfos\\n\0	3	1081	1082	1083												3	1	1	1												-47120.00000000	59136.00000000	-3328.00000000	16	26	3	a,School of Dark Arts\0	1	1	1	30141	11012.00000000	14128.00000000	-4242.00000000	a,Dark Elf\0	a,The Human has betrayed the secret that's kept Hierarch Mitraell sealed for centuries! Help Tettrarch Talloth break the seal that binds Mitraell!\0	20	31	32	33	34	35	36	37	38	39	40	41	42	43	106	107	108	109	110	111	112																																																		0						0	0	0	67
1	3	2	a,Will the Seal be Broken?\0	a,Return to Tetrarch Talloth\0	a,You have collected all the ingredients required for a spell. Return to Hierarch Talloth.\\n\0	0															0															11012.00000000	14128.00000000	-4242.00000000	16	26	3	a,Tetrarch Talloth\0	0	1	1	30141	11012.00000000	14128.00000000	-4242.00000000	a,Dark Elf\0	a,The Human has betrayed the secret that's kept Hierarch Mitraell sealed for centuries! Help Tettrarch Talloth break the seal that binds Mitraell!\0	20	31	32	33	34	35	36	37	38	39	40	41	42	43	106	107	108	109	110	111	112																																																		0						0	0	0	67
1	4	1	a,Long live the Pa'agrio Lord!\0	a,Gifts from the Six Tribes\0	a,Pa'agrio Lord Kakai, the ruler of all the Orcs, has fallen ill. The Centurions have decreed that each tribe shall offer him gifts to improve his health. Centurion Nakusin asks you to collect the offerings from the six tribes. You must meet with the following tribal representatives:\\n\\nTataru Zu Hestui of the dignified Hestui tribe\\nChief Varkees of the cold-blooded Atuba tribe\\nWarehouse Keeper Grookin of the formidable Neruga tribe\\nGantaki Zu Urutu of the strong-willed Urutu tribe\\nTrader Kunai of the tactical Dudamara tribe\\nTrader Uska of the ruthless Gandi tribe.\\n\0	6	1541	1542	1543	1544	1545	1546									6	1	1	1	1	1	1									0.00000000	0.00000000	0.00000000	2	5	3	a,	1	1	1	30578	-47360.00000000	-113791.00000000	-237.00000000	a,Orc\0	a,Pa'agrio Lord Kakai, the leader of all the Orcs, is sick! The elders have decided that each tribe will need to deliver a present to him to ensure he has a speedy recovery.\0	13	44	45	46	47	48	49	50	51	52	113	114	115	116																																																									0						0	0	0	138
1	4	2	a,Long live the Pa'agrio Lord!\0	a,Return to Nakusin\0	a,You have collected all of the tributes for Pa'agrio Lord Kakai. Take them to Centurion Nakusin.\\n\0	0															0															-47360.00000000	-113791.00000000	-237.00000000	2	5	3	a,Centurion Nakusin\0	0	1	1	30578	-47360.00000000	-113791.00000000	-237.00000000	a,Orc\0	a,Pa'agrio Lord Kakai, the leader of all the Orcs, is sick! The elders have decided that each tribe will need to deliver a present to him to ensure he has a speedy recovery.\0	13	44	45	46	47	48	49	50	51	52	113	114	115	116																																																									0						0	0	0	138
1	5	1	a,Miner's Favor\0	a,Errand to the Village\0	a,Miner Bolter, a member of the Gray Pillar Guild, lives at the Strip Mine. He asks you to bring him some things from the village. Visit Trader Shari's weapons shop, Trader Garita's store, Warehouse Chief Reed and Blacksmith Brunon and bring back the items that Miner Bolter is seeking.\\n\0	4	1548	1549	1550	1551											4	1	1	1	1											0.00000000	0.00000000	0.00000000	2	5	3	a,	1	1	1	30554	112656.00000000	-174864.00000000	-611.00000000	a,No Requirements\0	a,The guildsmen of the Gray Pillar Guild are hard at work in the Strip Mine. Miner Bolter is concerned that no one is available to gather the supplies the village needs.\0	0																																																																						0						0	0	0	138
1	5	2	a,Miner's Favor\0	a,Return to Miner Bolter.\0	a,You have all of the items Bolter requested. Take them to him.\\n\0	0															0															112656.00000000	-174864.00000000	-611.00000000	2	5	3	a,Miner Bolter\0	0	1	1	30554	112656.00000000	-174864.00000000	-611.00000000	a,No Requirements\0	a,The guildsmen of the Gray Pillar Guild are hard at work in the Strip Mine. Miner Bolter is concerned that no one is available to gather the supplies the village needs.\0	0																																																																						0						0	0	0	138
1	101	1	a,Sword of Solidarity\0	a,Broken Sword\0	a,Grand Master Roien of Cedric's Training Hall wants to restore the sword of solidarity. He explains that the sword was made long ago to symbolize the friendship between Elves and Humans. He mentions that Blacksmith Altran is also very interested in restoring this relic. He asks you to take the letter containing the results of his investigation of the relic to Altran in the Blacksmith Shop.\\n\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	9	16	3	a,Blacksmith Altran\0	0	1	1	30008	-71384.00000000	258304.00000000	-3109.00000000	a,Human\0	a,The Sword of Solidarity has long symbolized the friendship between Elves and Humans. The disappearance of the sword has coincided with the deterioration of that friendship. Grand Master Roien is seeking a warrior to restore the sword to its place of honor.\0	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99																																								0						0	0	0	30
1	101	2	a,Sword of Solidarity\0	a,Broken Sword Blade Piece\0	a,Blacksmith Altran explains that if he is to restore the Sword of Solidarity to its original condition, he must have the two pieces of the blade. He asks you to go the Elven Ruins and obtain the broken sword blade pieces from the Orcs there. Hunt Tunath Orc Warriors and Tunath Orc Marksmen.\\n\0	2	740	741													2	1	1													-112720.00000000	234880.00000000	-3693.00000000	9	16	3	a,Elven Ruins\0	1	1	1	30008	-71384.00000000	258304.00000000	-3109.00000000	a,Human\0	a,The Sword of Solidarity has long symbolized the friendship between Elves and Humans. The disappearance of the sword has coincided with the deterioration of that friendship. Grand Master Roien is seeking a warrior to restore the sword to its place of honor.\0	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99																																								0						0	0	0	30
1	101	3	a,Sword of Solidarity\0	a,Return to Blacksmith Altran\0	a,Take the broken sword blade pieces to Blacksmith Altran.\\n\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	9	16	3	a,Blacksmith Altran\0	0	1	1	30008	-71384.00000000	258304.00000000	-3109.00000000	a,Human\0	a,The Sword of Solidarity has long symbolized the friendship between Elves and Humans. The disappearance of the sword has coincided with the deterioration of that friendship. Grand Master Roien is seeking a warrior to restore the sword to its place of honor.\0	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99																																								0						0	0	0	30
1	101	4	a,Sword of Solidarity\0	a,Last Parts\0	a,While Blacksmith Altran joins the sword blade pieces together, go to Cedric's Training Hall and obtain the broken sword handle from Grand Master Roien.\\n\0	1	739														1	1														-71384.00000000	258304.00000000	-3109.00000000	9	16	3	a,Grand Master Roien\0	0	1	1	30008	-71384.00000000	258304.00000000	-3109.00000000	a,Human\0	a,The Sword of Solidarity has long symbolized the friendship between Elves and Humans. The disappearance of the sword has coincided with the deterioration of that friendship. Grand Master Roien is seeking a warrior to restore the sword to its place of honor.\0	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99																																								0						0	0	0	30
1	101	5	a,Sword of Solidarity\0	a,Sword of Solidarity\0	a,Take the broken sword handle to Blacksmith Altran so he can restore the sword of solidarity to its original condition.\\n\0	0															0															-85026.00000000	242689.00000000	-3729.00000000	9	16	3	a,Blacksmith Altran\0	0	1	1	30008	-71384.00000000	258304.00000000	-3109.00000000	a,Human\0	a,The Sword of Solidarity has long symbolized the friendship between Elves and Humans. The disappearance of the sword has coincided with the deterioration of that friendship. Grand Master Roien is seeking a warrior to restore the sword to its place of honor.\0	30	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	88	89	90	91	92	93	94	95	96	97	98	99																																								0						0	0	0	30
1	102	1	a,Sea of Spores Fever\0	a,Cure for Fever \0	a,Sentinel Knight Alberius tells you that the Elven researchers who have recently gone to the Sea of Spores have come down with a fever. He is concerned about the guards he has dispatched there and asks for your help. He tells you that Master Cobendell has the cure for the fever but needs the ingredients to make the antidote. Go to Master Cobendell and help him to collect the ingredients he needs.\\n\0	0															0															44823.00000000	52414.00000000	-2795.00000000	12	18	3	a,Master Cobendell\0	0	1	1	30284	45727.00000000	51721.00000000	-2803.00000000	a,Elf\0	a,Sentinels who were conducting experiments in the Sea of Spores have all come down with a bad fever. Sentinel Knight Alberius is seeking someone to visit Master Cobendell to obtain the cure.\0	19	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																			0						0	0	0	67
1	102	2	a,Sea of Spores Fever\0	a,Dryad's Tears \0	a,You must collect dryad's tears to make the cure for the fever. Collect 10 dryad's tears in the Elven Forest and take them to Master Cobendell. Hunt dryads and dryad elders.\\n\0	1	966														1	10														22100.00000000	42756.00000000	-3744.00000000	12	18	3	a,Elven Forest\0	1	1	1	30284	45727.00000000	51721.00000000	-2803.00000000	a,Elf\0	a,Sentinels who were conducting experiments in the Sea of Spores have all come down with a bad fever. Sentinel Knight Alberius is seeking someone to visit Master Cobendell to obtain the cure.\0	19	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																			0						0	0	0	67
1	102	3	a,Sea of Spores Fever\0	a,Return to Cobendell\0	a,You have collected all the necessary Dryad tears. Take them to Master Cobendell in the Elven Village.\\n\0	0															0															44823.00000000	52414.00000000	-2795.00000000	12	18	3	a,Master Cobendell\0	0	1	1	30284	45727.00000000	51721.00000000	-2803.00000000	a,Elf\0	a,Sentinels who were conducting experiments in the Sea of Spores have all come down with a bad fever. Sentinel Knight Alberius is seeking someone to visit Master Cobendell to obtain the cure.\0	19	18	19	20	21	22	23	24	25	26	27	28	29	30	100	101	102	103	104	105																																																			0						0	0	0	67
