id	npc_id	npc_level	affiliated_area_id	loc_x	loc_y	loc_z	raid_desc
1	29001	40	30	-21610.00000000	181594.00000000	-5734.00000000	a,
2	29006	50	1	17726.00000000	108915.00000000	-6480.00000000	a,
3	29014	50	67	55024.00000000	17368.00000000	-5412.00000000	a,
4	29066	79	16	185708.00000000	114298.00000000	-8221.00000000	a,
5	29067	79	16	185708.00000000	114298.00000000	-8221.00000000	a,
6	29068	79	16	185708.00000000	114298.00000000	-8221.00000000	a,
7	29020	75	97	115213.00000000	16623.00000000	10080.00000000	a,
8	29022	60	16	55312.00000000	219168.00000000	-3223.00000000	a,
9	29028	85	180	213896.00000000	-115436.00000000	-1644.00000000	a,
10	29047	90	180	174238.00000000	-89792.00000000	-5002.00000000	a,
11	25001	23	30	-54416.00000000	146480.00000000	-2887.00000000	a,A soldier of the Convict Mercenaries, who were famous for their bravery during the Aden-Gracia War. Currently, he is the Commander of the Gracia Convict Mercenaries, the surviving remnants of the company left in Aden Kingdom. His soldiers are based in Gludio.  He waits for an opportunity to return to his country.\0
12	25004	30	30	-94208.00000000	100240.00000000	-3520.00000000	a,The commander of the Katu Mercenaries. Prone to violent outbursts at any cause, he takes special joy in battling both elves and dark elves. He has no care for personal appearance or common courtesies, and some claim him touched by madness.\0
13	25007	42	97	124240.00000000	75376.00000000	-2800.00000000	a,A wicked Spider that once lived in the Wastelands while Beleth was free. After Beleth was sealed away, the Spider was chased away by a colony of Ants, empowered by the magic power of the Wastelands. The Spider was forced to retreat to this place. It swears that someday it will feed on the Ants and destroy them. It  quietly grows in power while sharpening its fangs for vengeance.\0
14	25010	55	97	113920.00000000	52960.00000000	-3735.00000000	a,A Treant who used to live south of Gludio, he loved trees and nature. After the war with Beleth, his beautiful forest home was destroyed, and his friends were slain. Deeply affected by that traumatic loss he is now trapped in a haze of hatred, madness, and the desire for revenge.  Gripped by his anger, he is still at war against all humans and mystics.\0
15	25013	50	97	169744.00000000	11920.00000000	-2732.00000000	a,One of the leaders of the peasants who resisted the merciless rule of Lord Ashton.He was ultimately captured and brutally executed by Ashton's cruel soldiers. Yet even that did not stop him. To overthrow  Ashton, he made a contract with a devil and came back to life. But the devil's bargain turned his once noble ideals towards loathing, turning him into a monster with the power of evil magic.\0
16	25016	60	121	76787.00000000	245775.00000000	-10376.00000000	a,A mechanical golem owned by the Lord of Innadril Castle. The lord's family has been protected by Eva for generations.This golem was created to protect the Garden of Eva, made by a dwarven master artisan. It is a guard to fend off the Water Dragon Fafurion's troops, or invaders threatening the garden. The dwarven master made two other golems, but this third and final one was the strongest.\0
17	25019	25	1	7376.00000000	169376.00000000	-3600.00000000	a,A Pan who was once a long-time friend of the Elves, and guarded the ancient Elven Forest. The Pans stayed neutral during the tragic war between the Elves and the Dark Elves, and both sides turned against them. The other Pans retreated into hiding after suffering cruel attacks from both sides, but Pay Dryad still remains here waiting for the golden age of peace to return.\0
18	25020	34	16	90384.00000000	125568.00000000	-2128.00000000	a,An Orc Dark Mage with superior talent. He was once known as "the Hope of the Breka Orc tribe," but he was tricked into plotting against his leader, and exiled. Now, he dreams of the day he will take vengeance on those who betrayed and exiled him. He grows in power, and uses summoning magic learned from the Dark Elves to harness powerful servitors and minions.\0
19	25023	34	1	27280.00000000	101744.00000000	-3696.00000000	a,She is the Ruthless Queen of Marsh Stakatos, deep in the Cruma Marshlands. The Queen is notorious for  mecilessness and cruelty to both her own forces and enemies alike. She has ordered the deaths of any and all who oppose her, including subordinates and even her own children. The Queen yearns to build a kingdom for Marsh Stakatos someday.\0
20	25026	49	67	92976.00000000	7920.00000000	-3914.00000000	a,He is the Commander of the advance forces of the powerful Ketra Orc tribe, who hail from the Goddard Territory of Elmore Kingdom. He believes completely in the superiority of his tribe. He was dispatched to expand their influence upon Aden Kingdom. He greatly detests the Silenos as well as humans, and is a formidable enemy.\0
21	25029	53	16	54941.00000000	206705.00000000	-3728.00000000	a,A powerful, mutant Monster Eye. Some scholars believe it has achieved the final stage of Monster Eye evolution. It is incredibly intelligent and arrogant. Years ago it ran away from Argos, the father of all Monster Eyes, to the south. It thinks and schemes, and plots to   steal Argos's power someday. It believes that it grows stronger by eating the brains of other intelligent living beings, and so it feeds often.\0
22	25032	58	121	88532.00000000	245798.00000000	-10376.00000000	a,The loyal guardian who protects the Garden of Eva, the resting place of the goddess Eva. Many seasons have passed since Eva's last visit, but he remains to protect the Garden against savages who might wish to despoil the holy goddess's resting place.\0
23	25035	70	97	180968.00000000	12035.00000000	-2720.00000000	a,Reaper is the page of the Goddess of Death, Shilen. Reaper is in charge of collecting the countless souls who wander about on earth, and bringing them to the underground world of Shilen.His loyalty to Shilen is absolute, and he stays close to the Seal of Shilen in order to serve the goddess better. He diligently carries out his duty while waiting for the day of the goddess's resurrection.\0
24	25038	28	30	-57360.00000000	186272.00000000	-4967.00000000	a,A servant of the Knight Barion, he gained the body of a devil through the dark magic of the Devil Kernon. He has only a growing anger towards General Karte, who made him a devil, and Karte's loyal officer, Barion. What he doesn't know is that this hatred is magical, inflamed  by the schemes of the Devil Kernon.\0
