name	id_mk	id_recipe	level	id_item	count	mp_cost	success_rate	materials_cnt	materials_m[0]_id	materials_m[0]_cnt	materials_m[1]_id	materials_m[1]_cnt	materials_m[2]_id	materials_m[2]_cnt	materials_m[3]_id	materials_m[3]_cnt	materials_m[4]_id	materials_m[4]_cnt	materials_m[5]_id	materials_m[5]_cnt	materials_m[6]_id	materials_m[6]_cnt	materials_m[7]_id	materials_m[7]_cnt	materials_m[8]_id	materials_m[8]_cnt	materials_m[9]_id	materials_m[9]_cnt
a,mk_wooden_arrow\0	1	1666	1	17	500	30	100	2	1864	4	1869	2																
a,mk_broad_sword\0	2	1786	1	3	1	30	100	3	2005	1	1869	18	1870	18														
a,mk_willow_staff\0	3	1787	1	8	1	30	100	4	2006	1	1869	12	1872	24	1864	12												
a,mk_bow\0	4	1788	1	14	1	30	100	4	2007	1	1869	20	1878	4	1866	4												
a,mk_cedar_staff\0	5	1789	1	9	1	45	100	4	2008	2	1869	55	1872	110	1864	55												
a,mk_dirk\0	6	1790	1	216	1	45	100	3	2009	2	1869	80	1870	80														
a,mk_brandish\0	7	1791	1	1333	1	45	100	3	2010	2	1869	110	1870	55														
a,mk_short_spear\0	8	1792	1	15	1	60	100	4	2011	3	1869	220	1870	110	1866	55												
a,mk_sword_of_reflexion\0	9	1793	1	120	1	60	100	3	2012	3	1869	200	1870	200														
a,mk_bow_of_forest\0	10	1794	1	272	1	60	100	4	2013	3	1869	225	1878	45	1866	45												
a,mk_leather_shoes\0	11	1795	1	37	1	45	100	3	1921	2	1867	8	1866	1														
a,mk_leather_tunic\0	12	1796	1	429	1	45	100	3	1922	2	1867	24	1868	12														
a,mk_leather_hose\0	13	1797	1	464	1	45	100	3	1923	2	1867	12	1868	12														
a,mk_leather_helmet\0	14	1798	1	44	1	60	100	3	1924	3	1866	15	1867	12														
a,mk_leather_gloves\0	15	1799	1	50	1	60	100	3	1925	3	1867	24	1866	3														
a,mk_piece_bone_breastplate\0	16	1800	1	25	1	63	100	3	1926	3	1883	3	1869	30														
a,mk_piece_bone_gaiters\0	17	1801	1	32	1	63	100	3	1928	3	1883	2	1872	14														
a,mk_necklace_of_anguish\0	18	1802	1	907	1	45	100	3	1896	2	1864	20	1865	4														
a,mk_necklace_of_wisdom\0	19	1803	1	908	1	60	100	3	1897	3	1864	50	1865	10														
a,mk_soulshot_d\0	20	1804	2	1463	156	40	100	2	1785	3	1458	1																
a,mk_soulshot_c\0	21	1805	4	1464	476	70	100	2	1785	15	1459	1																
a,mk_soulshot_b\0	22	1806	6	1465	450	100	100	2	1785	54	1460	1																
a,mk_soulshot_a\0	23	1807	7	1466	300	120	100	2	1785	36	1461	1																
a,mk_soulshot_s\0	24	1808	8	1467	350	150	100	2	1785	40	1462	1																
a,mk_leather\0	25	1814	1	1882	1	10	100	1	1867	6																		
a,mk_cord\0	26	1817	2	1884	20	20	100	2	1880	2	1868	25																
a,mk_oriharukon\0	27	1825	4	1893	1	40	100	3	1888	1	1873	12	1874	4														
a,mk_braided_hemp\0	28	2135	1	1878	1	10	100	1	1864	5																		
a,mk_cokes\0	29	2136	1	1879	1	10	100	2	1870	3	1871	3																
a,mk_steel\0	30	2137	1	1880	1	10	100	2	1865	5	1869	5																
a,mk_coarse_bone_powder\0	31	2138	1	1881	1	10	100	1	1872	10																		
a,mk_steel_mold\0	32	2139	2	1883	1	20	100	3	1878	5	1869	5	1870	5														
a,mk_high_grade_suede\0	33	2140	2	1885	1	20	100	2	1881	1	1866	3																
a,mk_silver_mold\0	34	2141	2	1886	1	20	100	3	1878	5	1879	5	1873	10														
a,mk_varnish_of_purity\0	35	2142	2	1887	1	20	100	3	1881	3	1865	3	1875	1														
a,mk_synthesis_cokes\0	36	2143	2	1888	1	20	100	2	1879	3	1874	1																
a,mk_compound_braid\0	37	2144	2	1889	1	20	100	2	1878	5	1868	5																
a,mk_mithirl_alloy\0	38	2145	4	1890	1	40	100	3	1887	1	1880	2	1876	1														
a,mk_artisan's_frame\0	39	2146	4	1891	1	40	100	3	1883	1	1887	5	1877	10														
a,mk_blacksmith's_frame\0	40	2147	4	1892	1	40	100	3	1886	1	1887	5	1876	10														
a,mk_crafted_leather\0	41	2148	4	1894	1	40	100	3	1884	4	1882	4	1870	4														
a,mk_metallic_fiber\0	42	2149	4	1895	20	40	100	2	1884	20	1873	15																
a,mk_blue_diamond_necklace\0	43	2150	1	909	1	72	100	3	1898	3	1864	80	1865	16														
a,mk_necklace_of_devotion\0	44	2151	2	910	1	84	100	5	1899	4	1886	1	1878	15	1865	3	2130	2										
a,mk_enchanted_necklace\0	45	2152	2	911	1	96	100	6	1900	5	1886	1	1878	15	1865	3	1458	18	2130	3								
a,mk_tiger'seye_earing\0	46	2153	3	849	1	108	100	6	1901	6	1886	1	1884	30	1865	6	1458	22	2130	4								
a,mk_elven_earing\0	47	2154	3	850	1	120	100	6	1902	7	1886	1	1884	60	1865	12	1458	30	2130	6								
a,mk_elven_ring\0	48	2155	3	881	1	120	100	6	1903	7	1886	1	1884	30	1865	6	1458	20	2130	4								
a,mk_elven_necklace\0	49	2156	3	913	1	120	100	6	1904	7	1886	1	1878	70	1865	14	1458	38	2130	9								
a,mk_onyxbeast'seye_earing\0	50	2157	4	851	1	129	100	6	1905	8	1886	1	1884	90	1865	18	1458	40	2130	8								
a,mk_mithril_ring\0	51	2158	4	882	1	129	100	6	1906	8	1886	1	1884	50	1865	10	1458	25	2130	5								
a,mk_necklace_of_darkness\0	52	2159	4	914	1	129	100	6	1907	8	1886	1	1878	90	1865	18	1458	50	2130	12								
a,mk_moonstone_earing\0	53	2160	4	852	1	138	100	6	1908	8	1892	1	1895	5	1887	1	1458	30	2131	4								
a,mk_aquastone_ring\0	54	2161	4	883	1	138	100	6	1909	8	1886	1	1895	15	1887	3	1458	25	2131	2								
a,mk_aquastone_necklace\0	55	2162	4	915	1	138	100	6	1910	8	1892	1	1889	5	1887	1	1458	65	2131	5								
a,mk_earing_of_protection\0	56	2163	5	853	1	147	100	6	1911	9	1892	1	1895	5	1887	1	1459	14	2131	5								
a,mk_ring_of_protection\0	57	2164	5	884	1	147	100	6	1912	9	1886	1	1895	15	1887	3	1459	10	2131	3								
a,mk_necklace_of_protection\0	58	2165	5	916	1	147	100	6	1913	9	1892	1	1889	10	1887	2	1459	16	2131	7								
a,mk_earing_of_binding\0	59	2166	5	854	1	156	100	6	1914	10	1892	1	1895	20	1887	4	1459	22	2131	8								
a,mk_ring_of_ages\0	60	2167	5	885	1	156	100	6	1915	10	1886	1	1895	30	1887	6	1459	12	2131	5								
a,mk_necklace_of_mermaid\0	61	2168	5	917	1	156	100	6	1916	10	1892	1	1889	20	1887	4	1459	26	2131	11								
a,mk_necklace_of_binding\0	62	2169	6	119	1	165	100	6	1920	11	1892	1	1889	35	1887	7	1459	38	2131	16								
a,mk_nassen's_earing\0	63	2170	6	855	1	165	100	6	1918	11	1892	1	1895	45	1887	9	1459	28	2131	12								
a,mk_ring_of_sage\0	64	2171	7	891	1	183	100	8	2171	1	1919	13	1892	1	1895	50	1887	10	4044	10	1460	18	2132	4				
a,mk_sage's_necklace\0	65	2172	7	922	1	183	100	8	2172	1	1917	13	4048	1	1889	55	1887	11	4044	11	1460	37	2132	8				
a,mk_hard_leather_shirt\0	66	2173	1	27	1	72	100	3	1927	3	1867	110	1868	55														
a,mk_hard_leather_gaiters\0	67	2174	1	33	1	72	100	3	1929	3	1867	55	1868	55														
a,mk_boots\0	68	2175	1	39	1	72	100	3	1930	3	1867	40	1866	5														
a,mk_leather_boots\0	69	2176	2	40	1	84	100	4	1931	4	1882	8	1885	1	2130	1												
a,mk_bone_helmet\0	70	2177	2	45	1	84	100	4	1932	4	1883	1	1882	15	2130	2												
a,mk_dark_hose\0	71	2178	2	467	1	96	100	5	1933	5	1882	20	1884	20	1458	20	2130	4										
a,mk_excellence_leather_gloves\0	72	2179	2	604	1	84	100	4	1934	4	1882	8	1885	1	2130	1												
a,mk_scale_mail\0	73	2180	2	348	1	96	100	5	1935	5	1883	3	1880	20	1458	40	2130	9										
a,mk_white_tunic\0	74	2181	2	434	1	96	100	5	1936	5	1882	40	1884	20	1458	28	2130	7										
a,mk_scale_gaiters\0	75	2182	2	377	1	96	100	5	1937	5	1883	2	1880	14	1458	20	2130	5										
a,mk_mithril_banded_mail\0	76	2183	3	393	1	108	100	5	1938	6	1883	3	1880	25	1458	45	2130	11										
a,mk_mithril_banded_gaiters\0	77	2184	3	415	1	108	100	5	1939	6	1883	2	1880	14	1458	30	2130	6										
a,mk_iron_boots\0	78	2185	3	553	1	108	100	5	1940	6	1882	16	1885	2	1458	16	2130	3										
a,mk_brigandine\0	79	2186	3	352	1	120	100	5	1941	7	1883	3	1880	54	1458	90	2130	24										
a,mk_manticor_skin_shirt\0	80	2187	3	395	1	120	100	5	1942	7	1882	84	1884	42	1458	70	2130	17										
a,mk_manticor_skin_gaiters\0	81	2188	3	417	1	120	100	5	1943	7	1882	45	1884	45	1458	45	2130	10										
a,mk_mithril_tunic\0	82	2189	3	437	1	120	100	5	1944	7	1882	84	1884	42	1458	70	2130	17										
a,mk_mithril_hose\0	83	2190	3	470	1	120	100	5	1945	7	1882	45	1884	45	1458	45	2130	10										
a,mk_gauntlet_of_repose_of_the_soul\0	84	2191	3	606	1	120	100	5	1946	7	1882	24	1885	3	1458	24	2130	5										
a,mk_kite_shield\0	85	2192	3	629	1	120	100	6	1947	7	1880	12	1879	4	1882	4	1458	24	2130	5								
a,mk_boots_of_power\0	86	2193	3	1124	1	120	100	5	1948	7	1882	24	1885	3	1458	24	2130	5										
a,mk_mithril_glove\0	87	2194	4	61	1	129	100	5	1949	8	1882	32	1885	4	1458	30	2130	6										
a,mk_half_plate\0	88	2195	4	353	1	129	100	5	1950	8	1883	3	1880	70	1458	120	2130	32										
a,mk_plate_gaiters\0	89	2196	4	380	1	129	100	5	1951	8	1883	2	1880	45	1458	70	2130	19										
a,mk_slamander_skin_mail\0	90	2197	4	396	1	129	100	6	1952	8	1882	140	1884	70	1878	35	1458	130	2130	36								
a,mk_sage's_rag\0	91	2198	4	438	1	129	100	6	1953	8	1882	140	1884	70	1878	35	1458	130	2130	36								
a,mk_karmian_hose\0	92	2199	4	471	1	138	100	5	1954	8	1894	15	1895	15	1458	70	2131	6										
a,mk_chain_helmet\0	93	2200	4	497	1	129	100	5	1955	8	1883	1	1882	60	1458	45	2130	10										
a,mk_square_shield\0	94	2201	4	630	1	129	100	6	1956	8	1880	15	1879	5	1882	5	1458	32	2130	7								
a,mk_assault_boots\0	95	2202	4	1125	1	129	100	5	1957	8	1882	32	1885	4	1458	30	2130	6										
a,mk_mithril_boots\0	96	2203	4	62	1	138	100	5	1958	8	1894	8	1885	1	1458	40	2130	9										
a,mk_chain_mail_shirt\0	97	2204	4	354	1	138	100	5	1959	8	1892	3	1890	1	1458	150	2131	14										
a,mk_chain_gaiters\0	98	2205	4	381	1	138	100	5	1960	8	1892	2	1890	1	1458	90	2131	8										
