id	name
17220001	Clan Hall Door
17220002	Clan Hall Door
17220003	Clan Hall Door
17220004	Clan Hall Door
17220005	Clan Hall Door
17220006	Clan Hall Door
17220007	Clan Hall Door
17220008	Clan Hall Door
17220009	Clan Hall Door
17220010	Clan Hall Door
17220011	Clan Hall Door
17220012	Clan Hall Door
17220013	Clan Hall Door
17220014	Clan Hall Door
17220015	Arena Sign
17220016	Arena Sign
17250001	Village Map Bulletin
17250002	Village Map Bulletin
17250003	Village Map Bulletin
18140001	Village Map Bulletin
18140002	Village Map Bulletin
18140003	Village Map Bulletin
19210001	Outer Castle Gate
19210002	Outer Castle Gate
19210003	Castle Wall
19210004	Castle Wall
19210005	Inner Castle Gate
19210006	Inner Castle Gate
19210007	Gate
19210008	Gate
19210009	Gate
19210010	Throne
19210011	Clan Hall Door
19210012	Clan Hall Door
19210013	Clan Hall Door
19210014	Clan Hall Door
19210015	Clan Hall Door
19210016	Clan Hall Door
19210017	Clan Hall Door
19210018	Clan Hall Door
20180001	Village Map Bulletin
20180002	Village Map Bulletin
20210001	System Control Room
20210002	System Control Room
20210003	System Control Room
20220001	Outer Castle Gate
20220002	Outer Castle Gate
20220003	Castle Wall
20220004	Castle Wall
20220005	Inner Castle Gate
20220006	Inner Castle Gate
20220007	Gate
20220008	Gate
20220009	Gate
20220010	Throne
20220011	Clan Hall Door
20220012	Clan Hall Door
20220013	Clan Hall Door
20220014	Clan Hall Door
20220015	Clan Hall Door
20220016	Clan Hall Door
20230001	Arena Sign
20230002	Arena Sign
21190001	Village Map Bulletin
21190002	Village Map Bulletin
21190003	Village Map Bulletin
21210001	Gate
21210002	Gate
21240001	Gate
21240002	Gate
21240003	Gate
21240004	Gate
21240005	Gate
21240006	Great Pirate's Secret Room
22170001	Iron Gate
22170002	Iron Gate
22170003	Gate
22170004	Gate
22190001	Outer Castle Gate
22190002	Outer Castle Gate
22190003	Castle Wall
22190004	Castle Wall
22190005	Inner Castle Gate
22190006	Inner Castle Gate
22190007	Gate
22190008	Gate
22190009	Gate
22190010	Throne
22220001	Arena Sign
22220002	Arena Sign
22250001	Water Wall
22250002	Water Wall
22250003	Water Wall
22250004	Water Wall
22250005	Water Wall
22250006	Water Wall
22250007	Water Wall
22250008	Water Wall
22250009	Water Wall
22250010	Water Wall
22250011	Water Wall
22250012	Water Wall
22250013	Water Wall
22250014	Water Wall
22250015	Water Wall
22250016	Water Wall
22250017	Water Wall
22250018	Water Wall
22250019	Water Wall
22250020	Water Wall
22250021	Water Wall
22250022	Water Wall
22250023	Water Wall
22250024	Water Wall
22250025	Secret Wall
22250026	Secret Wall
22250027	Secret Wall
22250028	Secret Wall
23120001	Village Map Bulletin
23120002	Village Map Bulletin
23120003	Village Map Bulletin
23180001	Hallate's Room
23180002	Hallate's Room
23180003	Gate
23180004	Gate
23180005	Gate
23180006	Gate
23220001	Outer Castle Gate
23220002	Outer Castle Gate
23220003	Castle Wall
23220004	Castle Wall
23220005	Inner Castle Gate
23220006	Inner Castle Gate
23220007	Gate
23220008	Gate
23220009	Gate
23220010	Throne
23250001	Outer Castle Gate
23250002	Outer Castle Gate
23250003	Castle Wall
23250004	Castle Wall
23250005	Inner Castle Gate
23250006	Inner Castle Gate
23250007	Gate
23250008	Gate
23250009	Gate
23250010	Throne
24180001	Outer Castle Gate
24180002	Outer Castle Gate
24180003	Inner Castle Wall
24180004	Hall Gate
24180005	Hall Gate
24180006	Castle Wall
24180007	Gate
24180008	Gate
24180009	Gate
24180010	Gate
24180011	Castle Wall
24180012	Inner Castle Gate
24180013	Inner Castle Gate
24180014	Inner Castle Gate
24180015	Inner Castle Gate
24180016	Gate
24180017	Throne
24180018	Gate
24180019	Gate
24180020	Gate
24180021	Gate
24190001	West Gate
24190002	West Gate
24190003	East Gate
24190004	East Gate
24180022	Clan Hall Door
24180023	Clan Hall Door
24180024	Clan Hall Door
24180025	Clan Hall Door
24180026	Clan Hall Door
24180027	Clan Hall Door
24180028	Clan Hall Door
