id	UNK_0	message	group	rgba[0]	rgba[1]	rgba[2]	rgba[3]	item_sound	sys_msg_ref	UNK_1[0]	UNK_1[1]	UNK_1[2]	UNK_1[3]	UNK_1[4]	sub_msg	type
0	1	a,You have been disconnected from the server.\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
1	1	a,The server will be coming down in $s1 second(s).  Please find a safe place to log out.\0	2	79	9B	B0	FF	a,	a,	8	0	3	1	0	a,Exit Game: $s1 second(s)\0	a,server\0
2	1	a,$s1 does not exist.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
3	1	a,$s1 is not currently logged in.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
4	1	a,You cannot ask yourself to apply to a clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
5	1	a,$s1 already exists.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
6	1	a,$s1 does not exist.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
7	1	a,You are already a member of $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
8	1	a,You are working with another clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
9	1	a,$s1 is not a clan leader.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
10	1	a,$s1 is working with another clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
11	1	a,There are no applicants for this clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
12	1	a,Applicant information is incorrect.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
13	1	a,Unable to disperse: your clan has requested to participate in a castle siege.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
14	1	a,Unable to disperse: your clan owns one or more castles or hideouts.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
