nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk01	map
0	0	0	0	30000.00000000	-30000.00000000	a,Neutral Waterways\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
1	1	0	0	30000.00000000	-30000.00000000	a,Talking Island\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
2	2	0	0	30000.00000000	-30000.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
3	3	0	0	30000.00000000	-30000.00000000	a,Dion Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
4	4	0	0	30000.00000000	-30000.00000000	a,Giran Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
5	5	0	0	30000.00000000	-30000.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
6	6	0	0	30000.00000000	-30000.00000000	a,Elven Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
7	7	0	0	30000.00000000	-30000.00000000	a,Oren Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
8	8	0	0	30000.00000000	-30000.00000000	a,Aden Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
9	9	0	0	30000.00000000	-30000.00000000	a,Innadril Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
10	10	0	0	30000.00000000	-30000.00000000	a,Misty Mountains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
11	11	0	0	30000.00000000	-30000.00000000	a,The Neutral Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
12	12	0	0	30000.00000000	-30000.00000000	a,Dragon Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
13	13	0	0	30000.00000000	-30000.00000000	a,_Lyonn Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
14	14	0	0	30000.00000000	-30000.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
15	15	0	0	30000.00000000	-30000.00000000	a,Wasteland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
16	252	18	21	30000.00000000	-30000.00000000	a,Fellmere Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
17	254	19	23	-4224.00000000	-7520.00000000	a,The Ant Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
18	251	17	22	30000.00000000	-30000.00000000	a,Giran Arena\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
19	254	19	21	30000.00000000	-30000.00000000	a,Gludio Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
20	255	19	21	30000.00000000	-30000.00000000	a,Town of Gludio\0	592	1932	-19968	117504	1024	1024	0.05000000	a,map_gludio_castle_town\0
21	255	17	22	30000.00000000	-30000.00000000	a,Gludin Village\0	269	2079	-89344	145792	1024	1024	0.05000000	a,map_gludin_village\0
22	254	17	22	30000.00000000	-30000.00000000	a,Gludin Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
23	255	18	24	30000.00000000	-4200.00000000	a,Langk Lizardmen Dwellings\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
24	253	18	23	30000.00000000	-3700.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
25	253	19	21	30000.00000000	-30000.00000000	a,Maille Lizardmen Barracks\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
26	253	17	20	30000.00000000	-4200.00000000	a,Windy Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
27	255	18	21	30000.00000000	-30000.00000000	a,Ruins of Agony\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
28	254	18	23	-3760.00000000	-5632.00000000	a,Forgotten Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
29	255	19	22	30000.00000000	-30000.00000000	a,Ruins of Despair\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
30	255	17	21	30000.00000000	-30000.00000000	a,Orc Barracks\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
31	255	18	22	30000.00000000	-30000.00000000	a,Abandoned Camp\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
32	255	21	25	-4874.00000000	-6874.00000000	a,Elven Ruins\0	106	2485	34830	235950	1024	1024	0.05000000	a,dungeon_map_elven_ruin\0
33	255	16	25	30000.00000000	-30000.00000000	a,Elven Ruins\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
34	255	21	25	30000.00000000	-6873.00000000	a,Neutral Waterways\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
35	255	17	25	30000.00000000	-30000.00000000	a,Talking Island Village\0	242	2536	-90624	236416	1024	1024	0.05000000	a,map_talkin_island_village\0
36	253	17	25	30000.00000000	-30000.00000000	a,Cedric's Training Hall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
37	254	17	25	30000.00000000	-30000.00000000	a,Einhovant's School of Magic\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
38	253	16	25	30000.00000000	-30000.00000000	a,Obelisk of Victory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
39	254	16	25	30000.00000000	-30000.00000000	a,Singing Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
40	252	17	25	30000.00000000	-30000.00000000	a,Talking Island Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
41	253	22	22	30000.00000000	-30000.00000000	a,Giran Arena\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
42	255	23	22	30000.00000000	-30000.00000000	a,Giran Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
43	255	22	22	30000.00000000	-30000.00000000	a,Giran Castle Town\0	1080	2053	73536	140032	1024	1024	0.05000000	a,map_giran_castle_town\0
44	255	21	23	30000.00000000	-30000.00000000	a,Giran Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
45	255	24	21	30000.00000000	-30000.00000000	a,Antharas' Lair\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
46	251	22	21	30000.00000000	-30000.00000000	a,Death Pass\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
47	254	20	22	30000.00000000	-30000.00000000	a,Dion Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
48	255	20	22	30000.00000000	-30000.00000000	a,Town of Dion\0	763	2042	11840	138432	1024	1024	0.05000000	a,map_dion_castle_town\0
49	252	20	23	30000.00000000	-30000.00000000	a,Monster Race Track\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
50	255	21	21	30000.00000000	-30000.00000000	a,Partisan's Hideaway\0	-1	-1	-1	-1	-1	-1	0.00000000	a,
